File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
;;;Zoning;5577033;20191109094843;W02-D-Leuven-FH02;5577033;20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;39285102;20201015154338;Mathieu de Layensplein 9_Mechelsestraat 10;;;;;;;39285022;20201015154142;1704741;37370000;6047;Mathieu de Layensplein;9;;3000;Leuven;;173343,702;174473,866;;N;IRREG;;4000;Unknown;Fiber;D - Facade Box;None;;;;;;;;;;;;1;11532754;7146955;LU;1;1;1;;0;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;MDU;Dirk Crama;glasvezel.leuven@proximus.com;80032492;Mathieu de Layensplein9
;;;Zoning;5577033;20191109094843;W02-D-Leuven-FH02;5577033;20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;39292951;20201016084833;Savoyestraat 13-15;;;;;;;38325587;20201016084815;2044729;37370000;27108;Savoyestraat;13;;3000;Leuven;;173581,512;174352,507;;Y;NA;3;4000;Unknown;Fiber;;None;;;;;;;;;;;;1;11486190;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;MDU;Dirk Crama;glasvezel.leuven@proximus.com;80032492;Savoyestraat13
;;;Zoning;5577033;20191109094843;W02-D-Leuven-FH02;5577033;20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;;;;;;;;;742571;20200730223554;3012860;37370000;4514;Brusselsestraat;1;;3000;Leuven;;173323,833;174380,523;;Y;NA;5;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;5;11465717;6648674;SU;1;;LIFT;;;;N;;;;;;;;;;;;;;;;3;1;1;5;FR;MDU;Dirk Crama;glasvezel.leuven@proximus.com;80032492;Brusselsestraat1
;;;Zoning;5577033;20191109094843;W02-D-Leuven-FH02;5577033;20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;;;;;;;;;8374416;20200731144840;3024374;37370000;16819;Kortestraat;10;;3000;Leuven;;173317,105;174337,29;;Y;NA;3;3;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;1;10980149;;LU;1;;;;;;N;;;;;;;;;;;;;;;;16;1;0;17;FR;MDU;Dirk Crama;glasvezel.leuven@proximus.com;80032492;Kortestraat10
;;;Zoning;5577033;20191109094843;W02-D-Leuven-FH02;5577033;20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;;;;;;;;;8374416;20200731144840;3024374;37370000;16819;Kortestraat;10;;3000;Leuven;;173317,105;174337,29;;Y;NA;3;3;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;2;10980151;;LU;1;;;;;;N;;;;;;;;;;;;;;;;16;1;0;17;FR;MDU;Dirk Crama;glasvezel.leuven@proximus.com;80032492;Kortestraat10
;;;Zoning;5577033;20191109094843;W02-D-Leuven-FH02;5577033;20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;;;;;;;;;8374416;20200731144840;3024374;37370000;16819;Kortestraat;10;;3000;Leuven;;173317,105;174337,29;;Y;NA;3;3;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;3;11345541;;BU;1;;;;;;;;;;;;;;;;;;;;;;16;1;0;17;FR;MDU;Dirk Crama;glasvezel.leuven@proximus.com;80032492;Kortestraat10
;;;Zoning;5577033;20191109094843;W02-D-Leuven-FH02;5577033;20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;;;;;;;;;8374416;20200731144840;3024374;37370000;16819;Kortestraat;10;;3000;Leuven;;173317,105;174337,29;;Y;NA;3;3;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;4;11345542;;LU;1;;;;;;;;;;;;;;;;;;;;;;16;1;0;17;FR;MDU;Dirk Crama;glasvezel.leuven@proximus.com;80032492;Kortestraat10
;;;Zoning;5577033;20191109094843;W02-D-Leuven-FH02;5577033;20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;;;;;;;;;8374416;20200731144840;3024374;37370000;16819;Kortestraat;10;;3000;Leuven;;173317,105;174337,29;;Y;NA;3;3;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;5;11345543;;LU;1;;;;;;;;;;;;;;;;;;;;;;16;1;0;17;FR;MDU;Dirk Crama;glasvezel.leuven@proximus.com;80032492;Kortestraat10
;;;Zoning;5577033;20191109094843;W02-D-Leuven-FH02;5577033;20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;;;;;;;;;8374416;20200731144840;3024374;37370000;16819;Kortestraat;10;;3000;Leuven;;173317,105;174337,29;;Y;NA;3;3;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;6;11345544;;LU;1;;;;;;;;;;;;;;;;;;;;;;16;1;0;17;FR;MDU;Dirk Crama;glasvezel.leuven@proximus.com;80032492;Kortestraat10
;;;Zoning;5577033;20191109094843;W02-D-Leuven-FH02;5577033;20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;;;;;;;;;8374416;20200731144840;3024374;37370000;16819;Kortestraat;10;;3000;Leuven;;173317,105;174337,29;;Y;NA;3;3;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;7;11345545;;LU;1;;;;;;;;;;;;;;;;;;;;;;16;1;0;17;FR;MDU;Dirk Crama;glasvezel.leuven@proximus.com;80032492;Kortestraat10
