File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
;;;Zoning;8105287;20200129084255;W03-C-Antwerpen-West-FH01;8105287;20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;33101159;20200401130234;Napoleonkaai 3-5-7;;;;;;;612395;20200401124502;108081;1630000;21982;Napoleonkaai;7;;2000;Antwerpen;;152615,19;213339,039;;N;IRREG;7;4;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;13;11344634;;SU;1;;;;;;N;;;;;;;;;;;;;;;;11;1;2;14;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Napoleonkaai7
;;;Zoning;8105287;20200129084255;W03-C-Antwerpen-West-FH01;8105287;20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;33101159;20200401130234;Napoleonkaai 3-5-7;;;;;;;612395;20200401124502;108081;1630000;21982;Napoleonkaai;7;;2000;Antwerpen;;152615,19;213339,039;;N;IRREG;7;4;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;14;11344635;;SU;1;;;;;;N;;;;;;;;;;;;;;;;11;1;2;14;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Napoleonkaai7
;;;Zoning;8105287;20200129084255;W03-C-Antwerpen-West-FH01;8105287;20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;7093646;20200305104350;1735098;1630000;596;Amsterdamstraat;25;;2000;Antwerpen;;152478,167;213513,966;;N;ORN;7;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;;;;;;12;11320457;5671067;BU;1;1;1;;0;;Y;;;;;B;BOWN;;;;;;;;;;5;1;1;7;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Amsterdamstraat25
;;;Zoning;8105287;20200129084255;W03-C-Antwerpen-West-FH01;8105287;20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;7093646;20200305104350;1735098;1630000;596;Amsterdamstraat;25;;2000;Antwerpen;;152478,167;213513,966;;N;ORN;7;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;;;;;;11;11320456;5671068;LU;1;101;101;;1;;Y;;;;;B;BOWN;;;;;;;;;;5;1;1;7;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Amsterdamstraat25
;;;Zoning;8105287;20200129084255;W03-C-Antwerpen-West-FH01;8105287;20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;20521214;20200224122728;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;;;;;;;632758;20200420152817;1782040;1630000;4368;Adriaan Brouwerstraat;27;;2000;Antwerpen;;152472,818;213090,144;;N;IRREG;5;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;;;;;;5;11313533;5673705;SU;1;SU1;SU1;;0;;N;;;;;B;BOWN;;;;;;;;;;4;0;1;5;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Adriaan Brouwerstraat27
;;;Zoning;8105287;20200129084255;W03-C-Antwerpen-West-FH01;8105287;20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;633335;20200305110319;1786953;1630000;4782;Cadixstraat;43;;2000;Antwerpen;;152996,375;213729,673;;N;IRREG;4;12;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;3;11320460;5670969;LU;1;2;2;;0;;Y;;;;;;;;;;;;;;;;7;0;0;7;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Cadixstraat43
;;;Zoning;8105287;20200129084255;W03-C-Antwerpen-West-FH01;8105287;20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;633335;20200305110319;1786953;1630000;4782;Cadixstraat;43;;2000;Antwerpen;;152996,375;213729,673;;N;IRREG;4;12;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;4;11320461;5670970;LU;1;101;101;;1;;Y;;;;;;;;;;;;;;;;7;0;0;7;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Cadixstraat43
;;;Zoning;8105287;20200129084255;W03-C-Antwerpen-West-FH01;8105287;20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;633335;20200305110319;1786953;1630000;4782;Cadixstraat;43;;2000;Antwerpen;;152996,375;213729,673;;N;IRREG;4;12;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;5;11320462;5670971;LU;1;102;102;;1;;Y;;;;;;;;;;;;;;;;7;0;0;7;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Cadixstraat43
;;;Zoning;8105287;20200129084255;W03-C-Antwerpen-West-FH01;8105287;20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;633335;20200305110319;1786953;1630000;4782;Cadixstraat;43;;2000;Antwerpen;;152996,375;213729,673;;N;IRREG;4;12;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;6;11320463;5670972;LU;1;201;201;;2;;Y;;;;;;;;;;;;;;;;7;0;0;7;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Cadixstraat43
;;;Zoning;8105287;20200129084255;W03-C-Antwerpen-West-FH01;8105287;20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;633335;20200305110319;1786953;1630000;4782;Cadixstraat;43;;2000;Antwerpen;;152996,375;213729,673;;N;IRREG;4;12;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;7;11320464;5670973;LU;1;202;202;;2;;Y;;;;;;;;;;;;;;;;7;0;0;7;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Cadixstraat43
