File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
;;;Zoning;6802502;20200812120431;W03-C-Antwerpen-West-FH03;6802502;20200812120431;W03-C-Antwerpen-West-FH03;19080;FTTH-Cu;;;;;;;;;;612810;20200514164109;109200;1630000;13899;Italielei;114;;2000;Antwerpen;;153304,295;212342,417;;N;IRREG;5;4;Unknown;Unknown;;None;;;;;;;;;;;;1;1634849;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;0;1;0;1;NL;SDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Italielei114
;;;Zoning;6802502;20200812120431;W03-C-Antwerpen-West-FH03;6802502;20200812120431;W03-C-Antwerpen-West-FH03;19080;FTTH-Cu;33729876;20200514164103;Korte Winkelstraat 7_Van Boendalestraat 1;;;;;;;612812;20200514164109;109205;1630000;34636;Korte Winkelstraat;7;;2000;Antwerpen;;153220,033;212373,424;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;1841707;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;1;1;0;2;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Korte Winkelstraat7
;;;Zoning;6802502;20200812120431;W03-C-Antwerpen-West-FH03;6802502;20200812120431;W03-C-Antwerpen-West-FH03;19080;FTTH-Cu;;;;;;;;;;612813;20200514164109;109206;1630000;34636;Korte Winkelstraat;9;;2000;Antwerpen;;153240,193;212358,751;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;1867539;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;6;1;0;7;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Korte Winkelstraat9
;;;Zoning;6802502;20200812120431;W03-C-Antwerpen-West-FH03;6802502;20200812120431;W03-C-Antwerpen-West-FH03;19080;FTTH-Cu;;;;;;;;;;612817;20200514164109;109212;1630000;3003;Van Boendalestraat;2;;2000;Antwerpen;;153236,407;212362,798;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;1693502;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;0;5;0;5;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Van Boendalestraat2
;;;Zoning;6802502;20200812120431;W03-C-Antwerpen-West-FH03;6802502;20200812120431;W03-C-Antwerpen-West-FH03;19080;FTTH-Cu;;;;;;;;;;612818;20200514164109;109213;1630000;3003;Van Boendalestraat;12;;2000;Antwerpen;;153269,814;212387,731;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;1639975;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;3;0;0;3;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Van Boendalestraat12
;;;Zoning;6802502;20200812120431;W03-C-Antwerpen-West-FH03;6802502;20200812120431;W03-C-Antwerpen-West-FH03;19080;FTTH-Cu;;;;;;;;;;13492026;20200514164107;109320;1630000;13899;Italielei;106;;2000;Antwerpen;;153295,067;212377,659;;Y;NA;6;3;Unknown;Unknown;;None;;;;;;;;;;;;1;1625627;;LU;1;;;;;;Y;#A.GV/G/K;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;16;1;0;17;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Italielei106
;;;Zoning;6802502;20200812120431;W03-C-Antwerpen-West-FH03;6802502;20200812120431;W03-C-Antwerpen-West-FH03;19080;FTTH-Cu;;;;;;;;;;612828;20200514164109;109335;1630000;23687;Paardenmarkt;104;;2000;Antwerpen;;153155,333;212727,594;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;1624528;;LU;1;;;;;;Y;#A1.2;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;1;1;0;2;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Paardenmarkt104
;;;Zoning;6802502;20200812120431;W03-C-Antwerpen-West-FH03;6802502;20200812120431;W03-C-Antwerpen-West-FH03;19080;FTTH-Cu;;;;;;;;;;612829;20200514164109;109336;1630000;23687;Paardenmarkt;82;;2000;Antwerpen;;153045,108;212759,783;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;1;10357846;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;5;0;0;5;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Paardenmarkt82
;;;Zoning;6802502;20200812120431;W03-C-Antwerpen-West-FH03;6802502;20200812120431;W03-C-Antwerpen-West-FH03;19080;FTTH-Cu;;;;;;;;;;13492027;20200514164108;109337;1630000;34637;Lange Winkelstraat;2;;2000;Antwerpen;;153000,644;212590,528;;Y;NA;3;3;Unknown;Unknown;;None;;;;;;;;;;;;1;1693501;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;3;0;0;3;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Lange Winkelstraat2
;;;Zoning;6802502;20200812120431;W03-C-Antwerpen-West-FH03;6802502;20200812120431;W03-C-Antwerpen-West-FH03;19080;FTTH-Cu;;;;;;;;;;612831;20200514164109;109338;1630000;34637;Lange Winkelstraat;47;;2000;Antwerpen;;153112,246;212482,444;;Y;NA;5;4;Unknown;Unknown;;None;;;;;;;;;;;;1;1794505;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;5;0;0;5;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Lange Winkelstraat47
