File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
;;;Zoning;7577430;20200227094735;W03-C-Knokke-Heist-FH04;7577430;20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;21158450;20200923194528;12860;33860000;35342;Zeewindstraat;16;;8300;Knokke-Heist;;75774,658;227842,874;;Y;NA;8;3;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;21;11499380;7001924;SU;1;SU1;SU1;;0;;;;;;;;;;;;;;;;;;17;0;1;18;FR;MDU;nan;nan;nan;Zeewindstraat16
;;;Zoning;7577430;20200227094735;W03-C-Knokke-Heist-FH04;7577430;20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;37313375;20200707114831;Antoine Breartstraat 19_Zeedijk-Het Zoute 714-715-716-717-718;;;;;;;21158454;20200707114736;1327494;33860000;35710;Zeedijk-Het Zoute;715;;8300;Knokke-Heist;;75275,183;227768,602;;N;IRREG;9;3;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;64;11499544;7004423;SU;1;SU2;SU2;;0;;;;;;;;;;;;;;;;;;61;0;2;63;FR;MDU;nan;nan;nan;Zeedijk-Het Zoute715
;;;Zoning;7577430;20200227094735;W03-C-Knokke-Heist-FH04;7577430;20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;21158460;20200923194533;2757624;33860000;437;Albertplein;3;;8300;Knokke-Heist;;75445,539;227740,696;;Y;NA;9;5;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;18;11499410;7002487;SU;1;SU1;SU1;;0;;;;;;;;;;;;;;;;;;16;1;1;18;FR;MDU;nan;nan;nan;Albertplein3
;;;Zoning;7577430;20200227094735;W03-C-Knokke-Heist-FH04;7577430;20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;21158461;20200926010945;2757627;33860000;437;Albertplein;7;;8300;Knokke-Heist;;75442,448;227758,322;;Y;NA;8;3;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;48;11499411;7002502;SU;1;SU1;SU1;;0;;;;;;;;;;;;;;;;;;14;0;1;15;FR;MDU;nan;nan;nan;Albertplein7
;;;Zoning;7577430;20200227094735;W03-C-Knokke-Heist-FH04;7577430;20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;35543790;20200611145650;Van Bunnenplein 15-16-17;;;;;;;25756615;20200611145650;2758568;33860000;4657;Van Bunnenplein;16;;8300;Knokke-Heist;;74846,274;227593,396;;N;IRREG;8;4;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;21;11499559;7004750;LU;1;702;702;;7;;;;;;;;;;;;;;;;;;20;0;1;21;FR;MDU;nan;nan;nan;Van Bunnenplein16
;;;Zoning;7577430;20200227094735;W03-C-Knokke-Heist-FH04;7577430;20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;35543790;20200611145650;Van Bunnenplein 15-16-17;;;;;;;25756615;20200611145650;2758568;33860000;4657;Van Bunnenplein;16;;8300;Knokke-Heist;;74846,274;227593,396;;N;IRREG;8;4;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;22;11499560;7004751;SU;1;SU1;SU1;;0;;;;;;;;;;;;;;;;;;20;0;1;21;FR;MDU;nan;nan;nan;Van Bunnenplein16
;;;Zoning;7577430;20200227094735;W03-C-Knokke-Heist-FH04;7577430;20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;21158470;20200923194533;2758570;33860000;4657;Van Bunnenplein;18;;8300;Knokke-Heist;;74850,151;227583,778;;N;IRREG;8;4;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;9;11499414;7002586;SU;1;SU1;SU1;;0;;;;;;;;;;;;;;;;;;7;1;1;9;FR;MDU;nan;nan;nan;Van Bunnenplein18
;;;Zoning;7577430;20200227094735;W03-C-Knokke-Heist-FH04;7577430;20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;21158472;20200923194533;2759118;33860000;7765;Duindistelstraat;7;;8300;Knokke-Heist;;75274,165;227729,376;;Y;NA;6;3;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;11;11499420;7002672;SU;1;SU1;SU1;;0;;;;;;;;;;;;;;;;;;10;0;1;11;FR;MDU;nan;nan;nan;Duindistelstraat7
;;;Zoning;7577430;20200227094735;W03-C-Knokke-Heist-FH04;7577430;20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;35541478;20200611140032;Duindistelstraat 9-11;;;;;;;21158474;20200611160408;2759121;33860000;7765;Duindistelstraat;11;;8300;Knokke-Heist;;75270,594;227717,123;;Y;NA;7;3;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;14;11499561;7004768;SU;1;SU1;SU1;;0;;;;;;;;;;;;;;;;;;12;1;1;14;FR;MDU;nan;nan;nan;Duindistelstraat11
;;;Zoning;7577430;20200227094735;W03-C-Knokke-Heist-FH04;7577430;20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;21158481;20200923194534;2760024;33860000;10279;Golvenstraat;5;;8300;Knokke-Heist;;75609,045;227810,586;;Y;NA;8;3;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;9;11499320;7000998;SU;1;SU2;SU2;;0;;;;;;;;;;;;;;;;;;6;0;2;8;FR;MDU;nan;nan;nan;Golvenstraat5
