File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239929;20200306134137;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74216;227231;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321837;;LU;1;;;;;;;;;;;;;;;;;;;;;;16;0;0;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand530
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239128;20200306134134;12846;33860000;20214;Meerminlaan;11;;8300;Knokke-Heist;;74369;227247;;Y;NA;1;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321375;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Meerminlaan11
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239598;20200306134136;1320279;33860000;453;Zeedijk-Albertstrand;501;;8300;Knokke-Heist;;73935;227083;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321605;;LU;1;;;;;;;;;;;;;;;;;;;;;;32;0;0;32;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand501
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239480;20200306134135;1351483;33860000;16385;Zeedijk-Knokke;604;;8300;Knokke-Heist;;74472;227476;;Y;NA;1;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321493;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Knokke604
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239883;20200306134137;1438861;33860000;453;Zeedijk-Albertstrand;520;;8300;Knokke-Heist;;74139;227181;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321805;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;0;0;14;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand520
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239077;20200306134133;1475884;33860000;16639;Koningslaan;131;;8300;Knokke-Heist;;74482;227275;;Y;NA;1;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321302;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Koningslaan131
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239676;20200306134136;1519814;33860000;453;Zeedijk-Albertstrand;509;;8300;Knokke-Heist;;74034;227136;;N;MON;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321708;;LU;1;;;;;;;;;;;;;;;;;;;;;;3;0;0;3;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand509
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31238999;20200306134131;2757656;33860000;453;Zeedijk-Albertstrand;483;;8300;Knokke-Heist;;73789;227017;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321096;;LU;1;;;;;;;;;;;;;;;;;;;;;;7;0;0;7;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand483
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239008;20200306134131;2757657;33860000;453;Zeedijk-Albertstrand;486;;8300;Knokke-Heist;;73815;227029;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321124;;LU;1;;;;;;;;;;;;;;;;;;;;;;10;0;0;10;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand486
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239553;20200306134136;2757666;33860000;453;Zeedijk-Albertstrand;496;;8300;Knokke-Heist;;73857;227048;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321560;;LU;1;;;;;;;;;;;;;;;;;;;;;;18;0;0;18;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand496
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239555;20200306134136;2757667;33860000;453;Zeedijk-Albertstrand;497;;8300;Knokke-Heist;;73867;227052;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321578;;LU;1;;;;;;;;;;;;;;;;;;;;;;9;0;0;9;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand497
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239605;20200306134136;2757670;33860000;453;Zeedijk-Albertstrand;504;;8300;Knokke-Heist;;73946;227090;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321638;;LU;1;;;;;;;;;;;;;;;;;;;;;;32;0;0;32;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand504
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239663;20200306134136;2757672;33860000;453;Zeedijk-Albertstrand;506;;8300;Knokke-Heist;;73963;227096;;Y;NA;1;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321689;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand506
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239689;20200306134136;2757680;33860000;453;Zeedijk-Albertstrand;512;;8300;Knokke-Heist;;74103;227163;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321715;;LU;1;;;;;;;;;;;;;;;;;;;;;;66;0;0;66;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand512
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239841;20200306134136;2757682;33860000;453;Zeedijk-Albertstrand;513;;8300;Knokke-Heist;;74098;227163;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321781;;LU;1;;;;;;;;;;;;;;;;;;;;;;2;0;0;2;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand513
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239862;20200306134137;2757685;33860000;453;Zeedijk-Albertstrand;517;;8300;Knokke-Heist;;74139;227181;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321787;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;0;0;14;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand517
;;;Zoning;7578283;20200227093120;W03-C-Knokke-Heist-FH06;7578283;20200227093120;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;31239878;20200306134137;2757686;33860000;453;Zeedijk-Albertstrand;518;;8300;Knokke-Heist;;74139;227181;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321801;;LU;1;;;;;;;;;;;;;;;;;;;;;;2;0;0;2;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;80017006;Zeedijk-Albertstrand518
