File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
;;;Zoning;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;801996;20200922142227;3510039;60370000;23992;Parklaan;61;;9100;Sint-Niklaas;;134492,471;205624,135;;N;IRREG;3;10;Unknown;Unknown;F - Fiber;None;;;;;;;;;;;;5;11457146;6579815;SU;1;SU1;SU1;;0;;N;;;;;;;;;;;;;;;;3;1;2;6;FR;MDU;;;;Parklaan61
;;;Zoning;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;801996;20200922142227;3510039;60370000;23992;Parklaan;61;;9100;Sint-Niklaas;;134492,471;205624,135;;N;IRREG;3;10;Unknown;Unknown;F - Fiber;None;;;;;;;;;;;;6;11457147;6579816;SU;1;SU2;SU2;;0;;N;;;;;;;;;;;;;;;;3;1;2;6;FR;MDU;;;;Parklaan61
;;;Zoning;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;805670;20200627114446;3525056;60370000;35097;Zamanstraat;5;;9100;Sint-Niklaas;;134299,874;206220,233;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;5;11452552;;SU;1;;;;;;N;;;;;;;;;;;;;;;;4;0;1;5;FR;MDU;;;;Zamanstraat5
;;;Zoning;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;805675;20200627114832;3525097;60370000;35097;Zamanstraat;15;;9100;Sint-Niklaas;;134308,242;206249,904;;Y;NA;3;4;Unknown;Unknown;C - Precabled ONTP;None;B;BNAC;;;;;;;;;;4;11452553;;LU;1;;;;;;N;;;;;;;;;;;;;;;;4;1;0;5;FR;MDU;;;;Zamanstraat15
;;;Zoning;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;805675;20200627114832;3525097;60370000;35097;Zamanstraat;15;;9100;Sint-Niklaas;;134308,242;206249,904;;Y;NA;3;4;Unknown;Unknown;C - Precabled ONTP;None;B;BNAC;;;;;;;;;;5;11452554;;LU;1;;;;;;N;;;;;;;;;;;;;;;;4;1;0;5;FR;MDU;;;;Zamanstraat15
;;;Zoning;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;21139566;20200604203608;4045793;60370000;31779;Veldstraat;165;;9100;Sint-Niklaas;;134925,908;206141,232;;Y;NA;2;6;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;1;11194803;6492888;LU;1;1;1;;0;;;;;;;;;;;;;;;;;;2;0;0;2;FR;MDU;;;;Veldstraat165
;;;Zoning;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;21139566;20200604203608;4045793;60370000;31779;Veldstraat;165;;9100;Sint-Niklaas;;134925,908;206141,232;;Y;NA;2;6;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;2;11194804;6492889;LU;1;2;2;;0;;;;;;;;;;;;;;;;;;2;0;0;2;FR;MDU;;;;Veldstraat165
;;;Zoning;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;808969;20200604203513;4275435;60370000;24858;Polderstraat;38;;9100;Sint-Niklaas;;134903,947;206097,84;;N;IRREG;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2113577;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;;;;Polderstraat38
;;;Zoning;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;11486489;20200627115228;4444760;60370000;635;Ankerstraat;119;;9100;Sint-Niklaas;;134567,248;206424,681;;N;IRREG;1;1;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;5;11452555;6565003;SU;1;SU1;SU1;;0;;N;;;;;;;;;;;;;;;;4;0;1;5;FR;MDU;;;;Ankerstraat119
;;;Zoning;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;38752977;20200923102630;Azalealaan 4-6;;;;;;;7092942;20200923102630;5705661;60370000;1030;Azalealaan;6;;9100;Sint-Niklaas - Saint-Nicolas;;134999,859;205798,449;;N;IRREG;5;15;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;63;11498956;6999278;BU;1;14;14;;0;;N;;;;;;;;;;;;;;;;60;1;2;63;FR;MDU;;;;Azalealaan6
;;;Zoning;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;6832763;20200220105332;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;38966401;20201001162342;75571;60370000;31779;Veldstraat;88;;9100;Sint-Niklaas;;134792,196;206120,549;;N;IRREG;4;;Unknown;Fiber;;None;;;;;;;;;;;;1;11503021;;LU;1;;;;;;N;;;;;;;;;;;;;;;;8;0;0;8;FR;MDU;;;;Veldstraat88
