File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
;;;Zoning;31638962;20200706090629;W04-C-Liege-FH23;31638962;20200706090629;W04-C-Liege-FH23;33216;FTTH-Cu;;;;;;;;;;38294768;20200902101405;1270081;37700000;1076;Rue d'Awans;16;;4000;Liège;;234104,198;148602,358;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11483610;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue d'Awans16
;;;Zoning;31638962;20200706090629;W04-C-Liege-FH23;31638962;20200706090629;W04-C-Liege-FH23;33216;FTTH-Cu;;;;;;;;;;38301325;20200902140213;1321873;37700000;8049;Rue Dehin;63;;4000;Liège;;233862,619;148886,084;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11484302;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue Dehin63
;;;Zoning;31638962;20200706090629;W04-C-Liege-FH23;31638962;20200706090629;W04-C-Liege-FH23;33216;FTTH-Cu;;;;;;;;;;38316952;20200903104444;1365830;37700000;25579;Rue Saint Laurent;172;;4000;Liège;;234073,973;148383,365;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11486119;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue Saint Laurent172
;;;Zoning;31638962;20200706090629;W04-C-Liege-FH23;31638962;20200706090629;W04-C-Liege-FH23;33216;FTTH-Cu;;;;;;;;;;38316209;20200903101433;2748429;37700000;18434;Rue Mississipi;2;;4000;Liège;;234482,963;149017,348;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11486102;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue Mississipi2
;;;Zoning;31638962;20200706090629;W04-C-Liege-FH23;31638962;20200706090629;W04-C-Liege-FH23;33216;FTTH-Cu;;;;;;;;;;38316349;20200903101809;2764921;37700000;21649;Rue Plumier;6;;4000;Liège;;233929,662;148656,78;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11486103;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue Plumier6
;;;Zoning;31638962;20200706090629;W04-C-Liege-FH23;31638962;20200706090629;W04-C-Liege-FH23;33216;FTTH-Cu;;;;;;;;;;38316507;20200903102134;2764929;37700000;21649;Rue Plumier;12;;4000;Liège;;233884,218;148646,33;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11486105;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue Plumier12
;;;Zoning;31638962;20200706090629;W04-C-Liege-FH23;31638962;20200706090629;W04-C-Liege-FH23;33216;FTTH-Cu;;;;;;;;;;38282741;20200901162406;2768107;37700000;22453;Publémont;3;;4000;Liège;;234307,364;148975,347;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11482625;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Publémont3
;;;Zoning;31638962;20200706090629;W04-C-Liege-FH23;31638962;20200706090629;W04-C-Liege-FH23;33216;FTTH-Cu;;;;;;;;;;38282575;20200901162238;2768111;37700000;22453;Publémont;5;;4000;Liège;;234310,459;148973,683;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11482624;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Publémont5
;;;Zoning;31638962;20200706090629;W04-C-Liege-FH23;31638962;20200706090629;W04-C-Liege-FH23;33216;FTTH-Cu;;;;;;;;;;38305080;20200902150221;2771541;37700000;22973;Rue des Remparts;1;;4000;Liège;;234543,79;149149,079;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11484775;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue des Remparts1
;;;Zoning;31638962;20200706090629;W04-C-Liege-FH23;31638962;20200706090629;W04-C-Liege-FH23;33216;FTTH-Cu;;;;;;;;;;38316663;20200903102803;2791134;37700000;25579;Rue Saint Laurent;26;;4000;Liège;;234352,131;148827,509;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11486107;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue Saint Laurent26
