File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
;;;Zoning;31643648;20200706090629;W04-C-Liege-FH25;31643648;20200706090629;W04-C-Liege-FH25;33214;FTTH-Cu;;;;;;;;;;38425032;20200908122407;1440059;37700000;26912;Rue de la Tombe;4;;4000;Liège;;234246,052;150903,767;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11488046;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue de la Tombe4
;;;Zoning;31643648;20200706090629;W04-C-Liege-FH25;31643648;20200706090629;W04-C-Liege-FH25;33214;FTTH-Cu;;;;;;;;;;38436662;20200908144641;1469891;37700000;25794;Rue Sainte Walburge;326;;4000;Liège;;234580,615;150718,498;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11488130;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue Sainte Walburge326
;;;Zoning;31643648;20200706090629;W04-C-Liege-FH25;31643648;20200706090629;W04-C-Liege-FH25;33214;FTTH-Cu;;;;;;;;;;38425251;20200908122912;1500640;37700000;26912;Rue de la Tombe;16;;4000;Liège;;234190,828;150939,306;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11488050;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue de la Tombe16
;;;Zoning;31643648;20200706090629;W04-C-Liege-FH25;31643648;20200706090629;W04-C-Liege-FH25;33214;FTTH-Cu;;;;;;;;;;38419946;20200908104237;25509;37700000;3074;Rue Bontemps;2;;4000;Liège;;234510,802;150820,929;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11488019;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue Bontemps2
;;;Zoning;31643648;20200706090629;W04-C-Liege-FH25;31643648;20200706090629;W04-C-Liege-FH25;33214;FTTH-Cu;;;;;;;;;;38432315;20200908134658;2747140;37700000;18175;Rue du Sergent Merx;102;;4000;Liège;;234320,647;150932,76;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11488081;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue du Sergent Merx102
;;;Zoning;31643648;20200706090629;W04-C-Liege-FH25;31643648;20200706090629;W04-C-Liege-FH25;33214;FTTH-Cu;;;;;;;;;;38433259;20200908135749;2747143;37700000;18175;Rue du Sergent Merx;103;;4000;Liège;;234272,704;150892,846;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11488098;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue du Sergent Merx103
;;;Zoning;31643648;20200706090629;W04-C-Liege-FH25;31643648;20200706090629;W04-C-Liege-FH25;33214;FTTH-Cu;;;;;;;;;;38432603;20200908134836;2747145;37700000;18175;Rue du Sergent Merx;104;;4000;Liège;;234322,253;150942,165;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11488093;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue du Sergent Merx104
;;;Zoning;31643648;20200706090629;W04-C-Liege-FH25;31643648;20200706090629;W04-C-Liege-FH25;33214;FTTH-Cu;;;;;;;;;;38433368;20200908135818;2747151;37700000;18175;Rue du Sergent Merx;105;;4000;Liège;;234272,876;150901,39;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11488099;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue du Sergent Merx105
;;;Zoning;31643648;20200706090629;W04-C-Liege-FH25;31643648;20200706090629;W04-C-Liege-FH25;33214;FTTH-Cu;;;;;;;;;;38432679;20200908134923;2747155;37700000;18175;Rue du Sergent Merx;106;;4000;Liège;;234323,973;150952,946;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11488094;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue du Sergent Merx106
;;;Zoning;31643648;20200706090629;W04-C-Liege-FH25;31643648;20200706090629;W04-C-Liege-FH25;33214;FTTH-Cu;;;;;;;;;;38432786;20200908135021;2747166;37700000;18175;Rue du Sergent Merx;108;;4000;Liège;;234325,694;150963,728;;NA;NA;;;Unknown;Fiber;;None;;;;;;;;;;;;1;11488095;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan;Rue du Sergent Merx108
