File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
;;;Zoning;10434939;20191109094846;W03-D-Hasselt-FH06;10434939;20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;;;;;;;;;5157580;20200903153200;1164596;26300000;12050;Helbeekplein;1;;3500;Hasselt;;218426,281;179606,524;;Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;73;11486319;6950571;BU;1;1B1;1;;0;;;;;;;;;;;;;;;;;;32;1;1;34;NL;MDU;nan;nan;nan;Helbeekplein1
;;;Zoning;10434939;20191109094846;W03-D-Hasselt-FH06;10434939;20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;;;;;;;;;5157580;20200903153200;1164596;26300000;12050;Helbeekplein;1;;3500;Hasselt;;218426,281;179606,524;;Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;74;11486320;6950604;SU;1;SU1;SU1;;0;;;;;;;;;;;;;;;;;;32;1;1;34;NL;MDU;nan;nan;nan;Helbeekplein1
;;;Zoning;10434939;20191109094846;W03-D-Hasselt-FH06;10434939;20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;;;;;;;;;379530;20200903153204;1174354;26300000;10;Gouverneur Roppesingel;25;;3500;Hasselt;;219486,924;179887,798;;N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;4;11486296;6950369;BU;1;3;3;;0;;;;;;;;;;;;;;;;;;1;16;1;18;NL;MDU;nan;nan;nan;Gouverneur Roppesingel25
;;;Zoning;10434939;20191109094846;W03-D-Hasselt-FH06;10434939;20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;;;;;;;;;379530;20200903153204;1174354;26300000;10;Gouverneur Roppesingel;25;;3500;Hasselt;;219486,924;179887,798;;N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;5;11486297;6950370;BU;1;4;4;;0;;;;;;;;;;;;;;;;;;1;16;1;18;NL;MDU;nan;nan;nan;Gouverneur Roppesingel25
;;;Zoning;10434939;20191109094846;W03-D-Hasselt-FH06;10434939;20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;;;;;;;;;379530;20200903153204;1174354;26300000;10;Gouverneur Roppesingel;25;;3500;Hasselt;;219486,924;179887,798;;N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;6;11486298;6950371;BU;1;5;5;;0;;;;;;;;;;;;;;;;;;1;16;1;18;NL;MDU;nan;nan;nan;Gouverneur Roppesingel25
;;;Zoning;10434939;20191109094846;W03-D-Hasselt-FH06;10434939;20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;;;;;;;;;379530;20200903153204;1174354;26300000;10;Gouverneur Roppesingel;25;;3500;Hasselt;;219486,924;179887,798;;N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;7;11486299;6950372;BU;1;101;101;;1;;;;;;;;;;;;;;;;;;1;16;1;18;NL;MDU;nan;nan;nan;Gouverneur Roppesingel25
;;;Zoning;10434939;20191109094846;W03-D-Hasselt-FH06;10434939;20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;;;;;;;;;379530;20200903153204;1174354;26300000;10;Gouverneur Roppesingel;25;;3500;Hasselt;;219486,924;179887,798;;N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;8;11486300;6950373;BU;1;102;102;;1;;;;;;;;;;;;;;;;;;1;16;1;18;NL;MDU;nan;nan;nan;Gouverneur Roppesingel25
;;;Zoning;10434939;20191109094846;W03-D-Hasselt-FH06;10434939;20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;;;;;;;;;379530;20200903153204;1174354;26300000;10;Gouverneur Roppesingel;25;;3500;Hasselt;;219486,924;179887,798;;N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;9;11486301;6950374;BU;1;103;103;;1;;;;;;;;;;;;;;;;;;1;16;1;18;NL;MDU;nan;nan;nan;Gouverneur Roppesingel25
;;;Zoning;10434939;20191109094846;W03-D-Hasselt-FH06;10434939;20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;;;;;;;;;379530;20200903153204;1174354;26300000;10;Gouverneur Roppesingel;25;;3500;Hasselt;;219486,924;179887,798;;N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;10;11486302;6950375;BU;1;104;104;;1;;;;;;;;;;;;;;;;;;1;16;1;18;NL;MDU;nan;nan;nan;Gouverneur Roppesingel25
;;;Zoning;10434939;20191109094846;W03-D-Hasselt-FH06;10434939;20191109094846;W03-D-Hasselt-FH06;24000;FTTH-Cu;;;;;;;;;;379530;20200903153204;1174354;26300000;10;Gouverneur Roppesingel;25;;3500;Hasselt;;219486,924;179887,798;;N;IRREG;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;11;11486303;6950376;BU;1;201;201;;2;;;;;;;;;;;;;;;;;;1;16;1;18;NL;MDU;nan;nan;nan;Gouverneur Roppesingel25
