File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
EXPORT;;;Zoning;4547957;20200206080149;W01-C-Roeselare-FH03;4547957;20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;9941388;20200716124844;Botermarkt 21-23;;;;;;;102804;20200929135004;1254382;56560000;3650;Botermarkt;23;;8800;Roeselare;;62644,96;182303,771;;Y;NA;5;3;Undefined;Unknown;D - Facade Box;None;;;;;;;;;;;;5;11502188;;SU;1;;;;;;N;;;;;;;;;;;;;;;;4;0;2;6;FR;MDU;nan;nan;nan;Botermarkt23
EXPORT;;;Zoning;4547957;20200206080149;W01-C-Roeselare-FH03;4547957;20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;9941388;20200716124844;Botermarkt 21-23;;;;;;;102804;20200929135004;1254382;56560000;3650;Botermarkt;23;;8800;Roeselare;;62644,96;182303,771;;Y;NA;5;3;Undefined;Unknown;D - Facade Box;None;;;;;;;;;;;;6;11502189;;SU;1;;;;;;N;;;;;;;;;;;;;;;;4;0;2;6;FR;MDU;nan;nan;nan;Botermarkt23
EXPORT;;;Zoning;4547957;20200206080149;W01-C-Roeselare-FH03;4547957;20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;8903186;20200827105344;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;;;;;;;103402;20201016135052;1255037;56560000;28720;Hippoliet Spilleboutdreef;56;;8800;Roeselare;;62357,214;181462,786;;N;IRREG;2;7;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;2;11502190;;LU;1;;;;;;N;;;;;;;;;;;;;;;;8;0;1;9;FR;MDU;nan;nan;nan;Hippoliet Spilleboutdreef56
EXPORT;;;Zoning;4547957;20200206080149;W01-C-Roeselare-FH03;4547957;20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;8903186;20200827105344;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;;;;;;;103402;20201016135052;1255037;56560000;28720;Hippoliet Spilleboutdreef;56;;8800;Roeselare;;62357,214;181462,786;;N;IRREG;2;7;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;3;11502191;;LU;1;;;;;;N;;;;;;;;;;;;;;;;8;0;1;9;FR;MDU;nan;nan;nan;Hippoliet Spilleboutdreef56
EXPORT;;;Zoning;4547957;20200206080149;W01-C-Roeselare-FH03;4547957;20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;8903186;20200827105344;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;;;;;;;103402;20201016135052;1255037;56560000;28720;Hippoliet Spilleboutdreef;56;;8800;Roeselare;;62357,214;181462,786;;N;IRREG;2;7;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;4;11502192;;LU;1;;;;;;N;;;;;;;;;;;;;;;;8;0;1;9;FR;MDU;nan;nan;nan;Hippoliet Spilleboutdreef56
EXPORT;;;Zoning;4547957;20200206080149;W01-C-Roeselare-FH03;4547957;20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;8903186;20200827105344;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;;;;;;;103402;20201016135052;1255037;56560000;28720;Hippoliet Spilleboutdreef;56;;8800;Roeselare;;62357,214;181462,786;;N;IRREG;2;7;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;5;11502193;;LU;1;;;;;;N;;;;;;;;;;;;;;;;8;0;1;9;FR;MDU;nan;nan;nan;Hippoliet Spilleboutdreef56
EXPORT;;;Zoning;4547957;20200206080149;W01-C-Roeselare-FH03;4547957;20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;8903186;20200827105344;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;;;;;;;103402;20201016135052;1255037;56560000;28720;Hippoliet Spilleboutdreef;56;;8800;Roeselare;;62357,214;181462,786;;N;IRREG;2;7;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;6;11502194;;LU;1;;;;;;N;;;;;;;;;;;;;;;;8;0;1;9;FR;MDU;nan;nan;nan;Hippoliet Spilleboutdreef56
EXPORT;;;Zoning;4547957;20200206080149;W01-C-Roeselare-FH03;4547957;20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;8903186;20200827105344;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;;;;;;;103402;20201016135052;1255037;56560000;28720;Hippoliet Spilleboutdreef;56;;8800;Roeselare;;62357,214;181462,786;;N;IRREG;2;7;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;7;11502195;;LU;1;;;;;;N;;;;;;;;;;;;;;;;8;0;1;9;FR;MDU;nan;nan;nan;Hippoliet Spilleboutdreef56
EXPORT;;;Zoning;4547957;20200206080149;W01-C-Roeselare-FH03;4547957;20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;8903186;20200827105344;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;;;;;;;103402;20201016135052;1255037;56560000;28720;Hippoliet Spilleboutdreef;56;;8800;Roeselare;;62357,214;181462,786;;N;IRREG;2;7;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;8;11502196;;LU;1;;;;;;N;;;;;;;;;;;;;;;;8;0;1;9;FR;MDU;nan;nan;nan;Hippoliet Spilleboutdreef56
EXPORT;;;Zoning;4547957;20200206080149;W01-C-Roeselare-FH03;4547957;20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;8903186;20200827105344;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;;;;;;;103402;20201016135052;1255037;56560000;28720;Hippoliet Spilleboutdreef;56;;8800;Roeselare;;62357,214;181462,786;;N;IRREG;2;7;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;9;11502197;;SU;1;;;;;;N;;;;;;;;;;;;;;;;8;0;1;9;FR;MDU;nan;nan;nan;Hippoliet Spilleboutdreef56
