File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
;;;Zoning;6807712;20200127134349;W03-C-Antwerpen-West-FH08;6807712;20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;;;;;;;;;615235;20200619235841;12593;1630000;26126;Theodoor Van Rijswijckplaats;3;;2000;Antwerpen;;152195,979;211866,211;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;2;11448399;;BU;1;;;;;;;;;;;;;;;;;;;;;;1;1;0;2;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Theodoor Van Rijswijckplaats3
;;;Zoning;6807712;20200127134349;W03-C-Antwerpen-West-FH08;6807712;20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;;;;;;;;;615351;20200619235841;12641;1630000;22002;Nationalestraat;55;;2000;Antwerpen;;152121,331;211747,682;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;3;11448190;;LU;1;;;;;;;;;;;;;;;;;;;;;;4;1;0;5;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Nationalestraat55
;;;Zoning;6807712;20200127134349;W03-C-Antwerpen-West-FH08;6807712;20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;;;;;;;;;615351;20200619235841;12641;1630000;22002;Nationalestraat;55;;2000;Antwerpen;;152121,331;211747,682;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;4;11448191;;LU;1;;;;;;;;;;;;;;;;;;;;;;4;1;0;5;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Nationalestraat55
;;;Zoning;6807712;20200127134349;W03-C-Antwerpen-West-FH08;6807712;20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;;;;;;;;;615351;20200619235841;12641;1630000;22002;Nationalestraat;55;;2000;Antwerpen;;152121,331;211747,682;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;5;11448192;;LU;1;;;;;;;;;;;;;;;;;;;;;;4;1;0;5;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Nationalestraat55
;;;Zoning;6807712;20200127134349;W03-C-Antwerpen-West-FH08;6807712;20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;;;;;;;;;621164;20200619235841;1732160;1630000;25;Aalmoezenierstraat;3;A;2000;Antwerpen;;152100,33;211622,226;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;;;;;;2;11448316;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;1;0;2;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Aalmoezenierstraat3A
;;;Zoning;6807712;20200127134349;W03-C-Antwerpen-West-FH08;6807712;20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;;;;;;;;;621166;20200619235842;1732162;1630000;25;Aalmoezenierstraat;5;;2000;Antwerpen;;152104,659;211618,553;;Y;NA;3;3;Unknown;Unknown;;None;;;;;;;;;;;;2;11448317;;LU;1;;;;;;;;;;;;;;;;;;;;;;2;1;0;3;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Aalmoezenierstraat5
;;;Zoning;6807712;20200127134349;W03-C-Antwerpen-West-FH08;6807712;20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;;;;;;;;;621166;20200619235842;1732162;1630000;25;Aalmoezenierstraat;5;;2000;Antwerpen;;152104,659;211618,553;;Y;NA;3;3;Unknown;Unknown;;None;;;;;;;;;;;;3;11448318;;LU;1;;;;;;;;;;;;;;;;;;;;;;2;1;0;3;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Aalmoezenierstraat5
;;;Zoning;6807712;20200127134349;W03-C-Antwerpen-West-FH08;6807712;20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;35721869;20200619235824;Aalmoezenierstraat 11-13;;;;;;;31647605;20200619235836;1732167;1630000;25;Aalmoezenierstraat;13;;2000;Antwerpen;;152121,755;211611,444;;Y;NA;3;3;Unknown;Unknown;;None;;;;;;;;;;;;2;11448346;;BU;1;;;;;;;;;;;;;;;;;;;;;;3;1;0;4;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Aalmoezenierstraat13
;;;Zoning;6807712;20200127134349;W03-C-Antwerpen-West-FH08;6807712;20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;35721869;20200619235824;Aalmoezenierstraat 11-13;;;;;;;31647605;20200619235836;1732167;1630000;25;Aalmoezenierstraat;13;;2000;Antwerpen;;152121,755;211611,444;;Y;NA;3;3;Unknown;Unknown;;None;;;;;;;;;;;;3;11448347;;LU;1;;;;;;;;;;;;;;;;;;;;;;3;1;0;4;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Aalmoezenierstraat13
;;;Zoning;6807712;20200127134349;W03-C-Antwerpen-West-FH08;6807712;20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;35721869;20200619235824;Aalmoezenierstraat 11-13;;;;;;;31647605;20200619235836;1732167;1630000;25;Aalmoezenierstraat;13;;2000;Antwerpen;;152121,755;211611,444;;Y;NA;3;3;Unknown;Unknown;;None;;;;;;;;;;;;4;11448348;;LU;1;;;;;;;;;;;;;;;;;;;;;;3;1;0;4;NL;MDU;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;80093884;Aalmoezenierstraat13
