File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR;adres
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;425236;20201007103359;10978;41630000;22946;Onze-Lieve-Vrouwestraat;123;;2800;Mechelen;;157878,007;190299,509;;N;IRREG;4;10;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;3;11509123;;LU;1;;;;;;N;;;;;;;;;;;;;;;;7;1;0;8;FR;MDU;;;;Onze-Lieve-Vrouwestraat123
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;425236;20201007103359;10978;41630000;22946;Onze-Lieve-Vrouwestraat;123;;2800;Mechelen;;157878,007;190299,509;;N;IRREG;4;10;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;4;11509124;;LU;1;;;;;;N;;;;;;;;;;;;;;;;7;1;0;8;FR;MDU;;;;Onze-Lieve-Vrouwestraat123
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;425236;20201007103359;10978;41630000;22946;Onze-Lieve-Vrouwestraat;123;;2800;Mechelen;;157878,007;190299,509;;N;IRREG;4;10;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;5;11509125;;LU;1;;;;;;N;;;;;;;;;;;;;;;;7;1;0;8;FR;MDU;;;;Onze-Lieve-Vrouwestraat123
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;425236;20201007103359;10978;41630000;22946;Onze-Lieve-Vrouwestraat;123;;2800;Mechelen;;157878,007;190299,509;;N;IRREG;4;10;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;6;11509126;;LU;1;;;;;;N;;;;;;;;;;;;;;;;7;1;0;8;FR;MDU;;;;Onze-Lieve-Vrouwestraat123
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;425236;20201007103359;10978;41630000;22946;Onze-Lieve-Vrouwestraat;123;;2800;Mechelen;;157878,007;190299,509;;N;IRREG;4;10;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;7;11509127;;LU;1;;;;;;N;;;;;;;;;;;;;;;;7;1;0;8;FR;MDU;;;;Onze-Lieve-Vrouwestraat123
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;425236;20201007103359;10978;41630000;22946;Onze-Lieve-Vrouwestraat;123;;2800;Mechelen;;157878,007;190299,509;;N;IRREG;4;10;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;8;11509128;;LU;1;;;;;;N;;;;;;;;;;;;;;;;7;1;0;8;FR;MDU;;;;Onze-Lieve-Vrouwestraat123
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;430696;20201019120506;3035719;41630000;11005;Guldenstraat;27;;2800;Mechelen;;157580,916;190557,436;;N;MON;3;3;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;3;11089569;7172629;LU;1;3;3;;3;;;;;;;;;;;;;;;;;;2;1;0;3;FR;MDU;;;;Guldenstraat27
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;431564;20201008090931;3037286;41630000;13150;Hoogstraat;43;;2800;Mechelen;;157451,326;190316,963;;Y;NA;4;12;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;4;11520812;7036538;BU;1;2;;;0;;N;;;;;;;;;;;;;;;;3;1;1;5;FR;MDU;;;;Hoogstraat43
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;431564;20201008090931;3037286;41630000;13150;Hoogstraat;43;;2800;Mechelen;;157451,326;190316,963;;Y;NA;4;12;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;5;11520813;7036539;SU;1;SU;;;0;;N;;;;;;;;;;;;;;;;3;1;1;5;FR;MDU;;;;Hoogstraat43
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;433607;20200928125203;3040923;41630000;18549;Leopoldstraat;82;;2800;Mechelen;;157873,871;189793,725;;N;IRREG;6;15;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;16;11539830;7173208;SU;1;SU2;SU2;;0;;N;;;;;;;;;;;;;;;;14;0;2;16;FR;MDU;;;;Leopoldstraat82
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;434703;20201021161539;3043028;41630000;20516;Kardinaal Mercierplein;1;;2800;Mechelen;;157979,744;190135,478;;Y;MON;3;9;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;13;11540643;;LU;1;;;;;;N;;;;;;;;;;;;;;;;12;5;0;17;FR;MDU;;;;Kardinaal Mercierplein1
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;434703;20201021161539;3043028;41630000;20516;Kardinaal Mercierplein;1;;2800;Mechelen;;157979,744;190135,478;;Y;MON;3;9;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;14;11540644;;LU;1;;;;;;N;;;;;;;;;;;;;;;;12;5;0;17;FR;MDU;;;;Kardinaal Mercierplein1
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;434703;20201021161539;3043028;41630000;20516;Kardinaal Mercierplein;1;;2800;Mechelen;;157979,744;190135,478;;Y;MON;3;9;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;15;11540645;;LU;1;;;;;;N;;;;;;;;;;;;;;;;12;5;0;17;FR;MDU;;;;Kardinaal Mercierplein1
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;434703;20201021161539;3043028;41630000;20516;Kardinaal Mercierplein;1;;2800;Mechelen;;157979,744;190135,478;;Y;MON;3;9;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;16;11540646;;LU;1;;;;;;N;;;;;;;;;;;;;;;;12;5;0;17;FR;MDU;;;;Kardinaal Mercierplein1
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;434703;20201021161539;3043028;41630000;20516;Kardinaal Mercierplein;1;;2800;Mechelen;;157979,744;190135,478;;Y;MON;3;9;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;17;11540647;;BU;1;;;;;;N;;;;;;;;;;;;;;;;12;5;0;17;FR;MDU;;;;Kardinaal Mercierplein1
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;434703;20201021161539;3043028;41630000;20516;Kardinaal Mercierplein;1;;2800;Mechelen;;157979,744;190135,478;;Y;MON;3;9;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;18;11540648;;BU;1;;;;;;N;;;;;;;;;;;;;;;;12;5;0;17;FR;MDU;;;;Kardinaal Mercierplein1
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;434703;20201021161539;3043028;41630000;20516;Kardinaal Mercierplein;1;;2800;Mechelen;;157979,744;190135,478;;Y;MON;3;9;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;19;11540649;;BU;1;;;;;;N;;;;;;;;;;;;;;;;12;5;0;17;FR;MDU;;;;Kardinaal Mercierplein1
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;;;;;;;;;434703;20201021161539;3043028;41630000;20516;Kardinaal Mercierplein;1;;2800;Mechelen;;157979,744;190135,478;;Y;MON;3;9;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;;;;;;20;11540650;;BU;1;;;;;;N;;;;;;;;;;;;;;;;12;5;0;17;FR;MDU;;;;Kardinaal Mercierplein1
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;38158332;20200923114354;Schuttersvest 2-4;;;;;;;437172;20201019134347;3047933;41630000;27914;Schuttersvest;4;;2800;Mechelen;;157606,969;190053,874;;Y;NA;7;6;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;14;11533603;7172806;SU;1;SU1;SU1;;0;;N;;;;;;;;;;;;;;;;11;2;2;15;FR;MDU;;;;Schuttersvest4
EXPORT;;;Zoning;6833220;20200304142057;W03-D-Mechelen-FH02;6833220;20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;38158332;20200923114354;Schuttersvest 2-4;;;;;;;437172;20201019134347;3047933;41630000;27914;Schuttersvest;4;;2800;Mechelen;;157606,969;190053,874;;Y;NA;7;6;Unknown;Unknown;A - Floorbox;None;;;;;;;;;;;;15;11533604;7172807;SU;1;SU2;SU2;;0;;N;;;;;;;;;;;;;;;;11;2;2;15;FR;MDU;;;;Schuttersvest4
