File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR
;;;Zoning;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;;;;;;;;;790327;20200526185725;102864;60370000;22403;Nieuwstraat;3;;9100;Sint-Niklaas;;133940,696;205999,084;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2110799;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;0;1;0;1;NL;SDU;;;
;;;Zoning;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;;;;;;;;;790405;20200526185728;103297;60370000;29782;Mgr. Stillemansstraat;80;;9100;Sint-Niklaas;;133890,699;205665,399;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2124918;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;NL;SDU;;;
;;;Zoning;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;;;;;;;;;790414;20200526185728;103361;60370000;13444;Hoveniersstraat;112;;9100;Sint-Niklaas;;133914,537;205552,559;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;1;2096906;6078372;LU;1;1;1;;0;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;;;;;;3;0;0;3;NL;MDU;;;
;;;Zoning;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;;;;;;;;;790414;20200526185728;103361;60370000;13444;Hoveniersstraat;112;;9100;Sint-Niklaas;;133914,537;205552,559;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;2;2096907;6078373;LU;1;101;101;;1;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;;;;;;3;0;0;3;NL;MDU;;;
;;;Zoning;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;;;;;;;;;790414;20200526185728;103361;60370000;13444;Hoveniersstraat;112;;9100;Sint-Niklaas;;133914,537;205552,559;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;3;2096908;6078374;LU;1;201;201;;2;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;;;;;;3;0;0;3;NL;MDU;;;
;;;Zoning;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;;;;;;;;;790416;20200526185728;103363;60370000;13444;Hoveniersstraat;68;;9100;Sint-Niklaas;;133891,34;205657,023;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2121984;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;NL;SDU;;;
;;;Zoning;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;33462682;20200526185710;Hoveniersstraat 2-4-6;;;;;;;790419;20200526185728;103368;60370000;13444;Hoveniersstraat;2;;9100;Sint-Niklaas;;133781,781;205820,285;;Y;NA;3;6;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;1;2105181;6079513;LU;1;1;1;;0;;Y;#A.GV/0A1/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;3;0;0;3;NL;MDU;;;
;;;Zoning;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;33462682;20200526185710;Hoveniersstraat 2-4-6;;;;;;;790419;20200526185728;103368;60370000;13444;Hoveniersstraat;2;;9100;Sint-Niklaas;;133781,781;205820,285;;Y;NA;3;6;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;2;2105182;6079515;LU;1;101;101;;1;;Y;#A.GV/0A2/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;3;0;0;3;NL;MDU;;;
;;;Zoning;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;33462682;20200526185710;Hoveniersstraat 2-4-6;;;;;;;790419;20200526185728;103368;60370000;13444;Hoveniersstraat;2;;9100;Sint-Niklaas;;133781,781;205820,285;;Y;NA;3;6;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;3;2105197;6079516;LU;1;201;201;;2;;Y;#A1/1A1/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;3;0;0;3;NL;MDU;;;
;;;Zoning;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;6832225;20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;;;;;;;;;790423;20200526185728;103378;60370000;22403;Nieuwstraat;35;;9100;Sint-Niklaas;;133859,242;205935,938;;N;GLASS;3;0;Unknown;Unknown;;None;;;;;;;;;;;;1;2112538;;BU;1;;;;;;Y;#A1.2;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;0;1;0;1;NL;SDU;;;
