File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;29312285;20200410120908;1024246;33860000;24010;Paul Parmentierlaan;236;;8300;Knokke-Heist;;74611,693;227397,92;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;1;8334530;;LU;1;;;;;;Y;#A2/5/K5;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;5;0;0;5;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;29312285;20200410120908;1024246;33860000;24010;Paul Parmentierlaan;236;;8300;Knokke-Heist;;74611,693;227397,92;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;2;8338764;;LU;1;;;;;;Y;#A.OG.GV/2/K2;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;5;0;0;5;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;29312285;20200410120908;1024246;33860000;24010;Paul Parmentierlaan;236;;8300;Knokke-Heist;;74611,693;227397,92;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;3;8342881;;LU;1;;;;;;Y;#A1/3/K3;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;5;0;0;5;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;29312285;20200410120908;1024246;33860000;24010;Paul Parmentierlaan;236;;8300;Knokke-Heist;;74611,693;227397,92;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;4;8347391;;LU;1;;;;;;Y;#A1/4/K4;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;5;0;0;5;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;29312285;20200410120908;1024246;33860000;24010;Paul Parmentierlaan;236;;8300;Knokke-Heist;;74611,693;227397,92;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;5;8356520;;LU;1;;;;;;Y;#A2/6/K6;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;5;0;0;5;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11321837;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;2;11321838;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;3;11321839;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;4;11321840;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;5;11321841;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;6;11321842;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;7;11321843;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;8;11321844;;SU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;9;11321845;;BU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;10;11321846;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;11;11321847;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;12;11321848;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;13;11321849;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;14;11321850;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;15;11321851;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;33269999;20200410120846;Zeedijk-Albertstrand 530-531;;;;;;;31239929;20200410120900;1168840;33860000;453;Zeedijk-Albertstrand;530;;8300;Knokke-Heist;;74217,709;227226,408;;N;IRREG;8;4;Unknown;Unknown;;None;;;;;;;;;;;;16;11321852;;LU;1;;;;;;;;;;;;;;;;;;;;;;14;1;1;16;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
;;;Zoning;7578283;20200326105629;W03-C-Knokke-Heist-FH06;7578283;20200326105629;W03-C-Knokke-Heist-FH06;19897;FTTH-Cu;;;;;;;;;;29312288;20200410120908;12838;33860000;20211;Meerlaan;80;;8300;Knokke-Heist;;73798,98;226954,178;;Y;NA;8;3;Unknown;Unknown;;None;;;;;;;;;;;;1;8335549;;LU;1;;;;;;Y;#A3/A/K9;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;20;0;0;20;NL;MDU;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
