File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;31151369;20201006145743;1015899;891800;18871;Avenue du Diamant;199;;1030;Schaarbeek;;152289,367;170966,413;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;1;2855549;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;0;4;0;4;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;31151369;20201006145743;1015899;891800;18871;Avenue du Diamant;199;;1030;Schaarbeek;;152289,367;170966,413;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;2;2855550;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;0;4;0;4;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;31151369;20201006145743;1015899;891800;18871;Avenue du Diamant;199;;1030;Schaarbeek;;152289,367;170966,413;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;3;2855551;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;0;4;0;4;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;31151369;20201006145743;1015899;891800;18871;Avenue du Diamant;199;;1030;Schaarbeek;;152289,367;170966,413;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;4;2855552;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;0;4;0;4;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;6965798;20201006105330;1069240;891800;2133;Avenue Charbo;1;;1030;Schaarbeek;;151311,45;171225,137;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;1;2758629;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;4;0;0;4;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;6965798;20201006105330;1069240;891800;2133;Avenue Charbo;1;;1030;Schaarbeek;;151311,45;171225,137;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;2;2758631;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;4;0;0;4;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;6965798;20201006105330;1069240;891800;2133;Avenue Charbo;1;;1030;Schaarbeek;;151311,45;171225,137;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;3;2758633;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;4;0;0;4;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;6965798;20201006105330;1069240;891800;2133;Avenue Charbo;1;;1030;Schaarbeek;;151311,45;171225,137;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;4;2758635;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;4;0;0;4;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;6965799;20201006105337;1069241;891800;2133;Avenue Charbo;1;A;1030;Schaarbeek;;151316,078;171222,051;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;1;2758625;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;2;0;0;2;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;6965799;20201006105337;1069241;891800;2133;Avenue Charbo;1;A;1030;Schaarbeek;;151316,078;171222,051;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;2;2758628;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;2;0;0;2;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;6965800;20201006111701;1069243;891800;7984;Notelaarstraat;102;;1030;Schaarbeek;;151414,227;171047,663;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;1;2794660;;LU;1;;;;;;Y;#A1/D/C14;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;16;0;0;16;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;6965800;20201006111701;1069243;891800;7984;Notelaarstraat;102;;1030;Schaarbeek;;151414,227;171047,663;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;2;2794664;;LU;1;;;;;;Y;#A1/G/C1/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;16;0;0;16;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;6965800;20201006111701;1069243;891800;7984;Notelaarstraat;102;;1030;Schaarbeek;;151414,227;171047,663;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;3;2794666;;LU;1;;;;;;Y;#A2/D/C5-G10;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;16;0;0;16;NL;MDU;nan;nan;nan
;;;Zoning;14359356;20200326171605;W03-C-Schaerbeek-FH02;14359356;20200326171605;W03-C-Schaerbeek-FH02;30070;FTTH-Cu;;;;;;;;;;6965800;20201006111701;1069243;891800;7984;Notelaarstraat;102;;1030;Schaarbeek;;151414,227;171047,663;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;4;2794668;;LU;1;;;;;;Y;#A2/G/C10-G4;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;16;0;0;16;NL;MDU;nan;nan;nan
