File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR
;;;Zoning;8445244;20200731140500;W03-C-Uccle-FH07;8445244;20200731140500;W03-C-Uccle-FH07;21338;FTTH-Cu;;;;;;;;;;307788;20200717172952;1009750;891900;15052;Avenue De Fré;223;;1180;Uccle;;149386,084;165904,969;;N;IRREG;3;;Unknown;Unknown;;None;;;;;;;;;;;;1;783813;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;8445244;20200731140500;W03-C-Uccle-FH07;8445244;20200731140500;W03-C-Uccle-FH07;21338;FTTH-Cu;;;;;;;;;;307793;20200717172952;1009755;891900;15052;Avenue De Fré;215;;1180;Uccle;;149316,049;165928,083;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;;;;;;1;783275;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;1;1;0;2;FR;MDU;nan;nan;nan
;;;Zoning;8445244;20200731140500;W03-C-Uccle-FH07;8445244;20200731140500;W03-C-Uccle-FH07;21338;FTTH-Cu;;;;;;;;;;307793;20200717172952;1009755;891900;15052;Avenue De Fré;215;;1180;Uccle;;149316,049;165928,083;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;;;;;;2;11463017;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;1;0;2;FR;MDU;nan;nan;nan
;;;Zoning;8445244;20200731140500;W03-C-Uccle-FH07;8445244;20200731140500;W03-C-Uccle-FH07;21338;FTTH-Cu;;;;;;;;;;307794;20200717172952;1009756;891900;15052;Avenue De Fré;211;;1180;Uccle;;149278,078;165941,769;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;1;783157;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;2;1;0;3;FR;MDU;nan;nan;nan
;;;Zoning;8445244;20200731140500;W03-C-Uccle-FH07;8445244;20200731140500;W03-C-Uccle-FH07;21338;FTTH-Cu;;;;;;;;;;307794;20200717172952;1009756;891900;15052;Avenue De Fré;211;;1180;Uccle;;149278,078;165941,769;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;2;11463015;;LU;1;;;;;;;;;;;;;;;;;;;;;;2;1;0;3;FR;MDU;nan;nan;nan
;;;Zoning;8445244;20200731140500;W03-C-Uccle-FH07;8445244;20200731140500;W03-C-Uccle-FH07;21338;FTTH-Cu;;;;;;;;;;307794;20200717172952;1009756;891900;15052;Avenue De Fré;211;;1180;Uccle;;149278,078;165941,769;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;3;11463016;;LU;1;;;;;;;;;;;;;;;;;;;;;;2;1;0;3;FR;MDU;nan;nan;nan
;;;Zoning;8445244;20200731140500;W03-C-Uccle-FH07;8445244;20200731140500;W03-C-Uccle-FH07;21338;FTTH-Cu;;;;;;;;;;307795;20200717172952;1009757;891900;15052;Avenue De Fré;217;;1180;Uccle;;149323,239;165924,533;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;1;783300;;LU;1;;;;;;Y;#A.REZ.D/LOT2/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;6;0;0;6;FR;MDU;nan;nan;nan
;;;Zoning;8445244;20200731140500;W03-C-Uccle-FH07;8445244;20200731140500;W03-C-Uccle-FH07;21338;FTTH-Cu;;;;;;;;;;307795;20200717172952;1009757;891900;15052;Avenue De Fré;217;;1180;Uccle;;149323,239;165924,533;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;2;783301;;LU;1;;;;;;Y;#A.REZ.G/LOT1/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;6;0;0;6;FR;MDU;nan;nan;nan
;;;Zoning;8445244;20200731140500;W03-C-Uccle-FH07;8445244;20200731140500;W03-C-Uccle-FH07;21338;FTTH-Cu;;;;;;;;;;307795;20200717172952;1009757;891900;15052;Avenue De Fré;217;;1180;Uccle;;149323,239;165924,533;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;3;783302;;LU;1;;;;;;Y;#A1.D/LOT4/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;6;0;0;6;FR;MDU;nan;nan;nan
;;;Zoning;8445244;20200731140500;W03-C-Uccle-FH07;8445244;20200731140500;W03-C-Uccle-FH07;21338;FTTH-Cu;;;;;;;;;;307795;20200717172952;1009757;891900;15052;Avenue De Fré;217;;1180;Uccle;;149323,239;165924,533;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;4;783303;;LU;1;;;;;;Y;#A1.G/LOT3/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;6;0;0;6;FR;MDU;nan;nan;nan
