File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR
EXPORT;;;Zoning;31632800;20200630083406;W04-C-Liege-FH19;31632800;20200630083406;W04-C-Liege-FH19;33220;FTTH-Cu;;;;;;;;;;35838607;20201008194150;1169231;37700000;5874;Rue du Chera;79;;4000;Liege;;234908,892;145925,05;;N;IRREG;2;;Unknown;Unknown;;None;;;;;;;;;;;;2;10710168;;BU;1;;;;;;Y;;OFFICE;KANTOORGEBOUW - BATIMENT DE BUREAU;NA;;;;;;;;;;;;0;1;0;1;NL;SDU;nan;nan;nan
EXPORT;;;Zoning;31632800;20200630083406;W04-C-Liege-FH19;31632800;20200630083406;W04-C-Liege-FH19;33220;FTTH-Cu;;;;;;;;;;504119;20201008194140;1170847;37700000;38118;Rue du Perron;42;;4000;Liege;Sclessin;233893,766;145684,772;;Y;NA;3;3;Unknown;Unknown;;None;;;;;;;;;;;;1;1361488;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;NL;SDU;nan;nan;nan
EXPORT;;;Zoning;31632800;20200630083406;W04-C-Liege-FH19;31632800;20200630083406;W04-C-Liege-FH19;33220;FTTH-Cu;;;;;;;;;;35838608;20201008194150;1173188;37700000;5874;Rue du Chera;49;;4000;Liege;;234697,908;145966,711;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;7;10710982;;LU;1;;;;;;Y;#A1/D/C6;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;6;0;0;6;NL;MDU;nan;nan;nan
EXPORT;;;Zoning;31632800;20200630083406;W04-C-Liege-FH19;31632800;20200630083406;W04-C-Liege-FH19;33220;FTTH-Cu;;;;;;;;;;35838608;20201008194150;1173188;37700000;5874;Rue du Chera;49;;4000;Liege;;234697,908;145966,711;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;8;10710999;;LU;1;;;;;;Y;#A1/G/C1;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;6;0;0;6;NL;MDU;nan;nan;nan
EXPORT;;;Zoning;31632800;20200630083406;W04-C-Liege-FH19;31632800;20200630083406;W04-C-Liege-FH19;33220;FTTH-Cu;;;;;;;;;;35838608;20201008194150;1173188;37700000;5874;Rue du Chera;49;;4000;Liege;;234697,908;145966,711;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;9;10711038;;LU;1;;;;;;Y;#A2/D/C4;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;6;0;0;6;NL;MDU;nan;nan;nan
EXPORT;;;Zoning;31632800;20200630083406;W04-C-Liege-FH19;31632800;20200630083406;W04-C-Liege-FH19;33220;FTTH-Cu;;;;;;;;;;35838608;20201008194150;1173188;37700000;5874;Rue du Chera;49;;4000;Liege;;234697,908;145966,711;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;10;10711056;;LU;1;;;;;;Y;#A2/G/C3;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;6;0;0;6;NL;MDU;nan;nan;nan
EXPORT;;;Zoning;31632800;20200630083406;W04-C-Liege-FH19;31632800;20200630083406;W04-C-Liege-FH19;33220;FTTH-Cu;;;;;;;;;;35838608;20201008194150;1173188;37700000;5874;Rue du Chera;49;;4000;Liege;;234697,908;145966,711;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;11;10711248;;LU;1;;;;;;Y;#AR/D/C5;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;6;0;0;6;NL;MDU;nan;nan;nan
EXPORT;;;Zoning;31632800;20200630083406;W04-C-Liege-FH19;31632800;20200630083406;W04-C-Liege-FH19;33220;FTTH-Cu;;;;;;;;;;35838608;20201008194150;1173188;37700000;5874;Rue du Chera;49;;4000;Liege;;234697,908;145966,711;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;12;10711249;;LU;1;;;;;;Y;#AR/G/C2;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;6;0;0;6;NL;MDU;nan;nan;nan
EXPORT;;;Zoning;31632800;20200630083406;W04-C-Liege-FH19;31632800;20200630083406;W04-C-Liege-FH19;33220;FTTH-Cu;;;;;;;;;;504148;20201008194140;1177951;37700000;4030;Rue des Bruyeres;137;;4000;Liege;;233726,181;146123,438;;N;IRREG;2;;Unknown;Unknown;;None;;;;;;;;;;;;1;1306295;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;NL;SDU;nan;nan;nan
EXPORT;;;Zoning;31632800;20200630083406;W04-C-Liege-FH19;31632800;20200630083406;W04-C-Liege-FH19;33220;FTTH-Cu;;;;;;;;;;504159;20201008194140;1180273;37700000;41319;Rue Haute Voie;45;;4000;Liege;Sclessin;233758,028;145831,146;;N;IRREG;2;;Unknown;Unknown;;None;;;;;;;;;;;;1;1364131;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;NL;SDU;nan;nan;nan
