File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR
;;;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;;;;;;;;;38010097;20200816004008;1010310;12760000;38191;Rue de Grisoeil;1;;7340;Colfontaine;Pâturages;114148,878;121942,863;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;7594462;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;;;;;;;;;38010098;20200816004008;1010312;12760000;38191;Rue de Grisoeil;17;;7340;Colfontaine;Pâturages;114126,319;121908,941;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;7590194;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;;;;;;;;;38010099;20200816004008;1010314;12760000;38191;Rue de Grisoeil;23;;7340;Colfontaine;Pâturages;114088,762;121863,213;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;7597346;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;;;;;;;;;38010100;20200816004008;1010317;12760000;20854;Rue Louis Pépin;93;;7340;Colfontaine;Pâturages;114157,79;121949,203;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;7595945;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;;;;;;;;;38010101;20200816004008;1016815;12760000;17144;Rue du Notaire Malengreaux;2;;7340;Colfontaine;Pâturages;113952,422;123319,222;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;7592299;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;;;;;;;;;38010102;20200816004008;1016816;12760000;17144;Rue du Notaire Malengreaux;24;;7340;Colfontaine;Pâturages;113934,395;123377,362;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;7591559;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;;;;;;;;;38010103;20200816004008;1016818;12760000;17144;Rue du Notaire Malengreaux;19;;7340;Colfontaine;Pâturages;113915,337;123371,223;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;7596793;;LU;1;;;;;;Y;#PIE QUAREGNON 2 DIV;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;;;;;;;;;38010104;20200816004008;1017002;12760000;10777;Rue des Ferronniers;13;;7340;Colfontaine;Pâturages;114500,417;121902,399;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;7596098;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;;;;;;;;;38010105;20200816004008;1017015;12760000;20868;Rue de la Perche;14;;7340;Colfontaine;Pâturages;113933,083;122047,083;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;7597051;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;0;1;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;;;;;;;;;38010106;20200816004008;1017016;12760000;20868;Rue de la Perche;57;;7340;Colfontaine;Pâturages;113805,319;122068,574;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;7590196;;LU;1;;;;;;Y;#A1/A-1.1/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;3;0;0;3;FR;MDU;nan;nan;nan
