File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;CONTACT;EMAIL;TELNR
;;;Zoning;33479547;2,02008E+13;W05-C-Mons-FH11;33479547;2,02008E+13;W05-C-Mons-FH11;33713;FTTH-Cu;;;;;;;;;;38018525;2,02008E+13;1016597;44510000;15095;Place de J‚richo;57;;7012;Mons;Jemappes;115504,239;126876,894;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;2;10657451;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33479547;2,02008E+13;W05-C-Mons-FH11;33479547;2,02008E+13;W05-C-Mons-FH11;33713;FTTH-Cu;;;;;;;;;;38018526;2,02008E+13;1095450;44510000;10991;Avenue Mar‚chal Foch;795;;7012;Mons;Jemappes;115386,282;126426,808;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;2;10665607;;BU;1;;;;;;Y;#PIE B1108Y4 & B1108L5;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;0;1;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33479547;2,02008E+13;W05-C-Mons-FH11;33479547;2,02008E+13;W05-C-Mons-FH11;33713;FTTH-Cu;;;;;;;;;;564868;2,01501E+13;1095451;44510000;10991;Avenue Mar‚chal Foch;827;;7012;Mons;Jemappes;115293,321;126415,2453;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;1007856;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33479547;2,02008E+13;W05-C-Mons-FH11;33479547;2,02008E+13;W05-C-Mons-FH11;33713;FTTH-Cu;;;;;;;;;;564869;2,01501E+13;1095452;44510000;10991;Avenue Mar‚chal Foch;831;;7012;Mons;Jemappes;115286,334;126437,2724;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;3;1007967;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;2;1;0;3;FR;MDU;nan;nan;nan
;;;Zoning;33479547;2,02008E+13;W05-C-Mons-FH11;33479547;2,02008E+13;W05-C-Mons-FH11;33713;FTTH-Cu;;;;;;;;;;564869;2,01501E+13;1095452;44510000;10991;Avenue Mar‚chal Foch;831;;7012;Mons;Jemappes;115286,334;126437,2724;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;1007966;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;;;;;;2;1;0;3;FR;MDU;nan;nan;nan
;;;Zoning;33479547;2,02008E+13;W05-C-Mons-FH11;33479547;2,02008E+13;W05-C-Mons-FH11;33713;FTTH-Cu;;;;;;;;;;564869;2,01501E+13;1095452;44510000;10991;Avenue Mar‚chal Foch;831;;7012;Mons;Jemappes;115286,334;126437,2724;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;2;1007964;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;2;1;0;3;FR;MDU;nan;nan;nan
;;;Zoning;33479547;2,02008E+13;W05-C-Mons-FH11;33479547;2,02008E+13;W05-C-Mons-FH11;33713;FTTH-Cu;;;;;;;;;;564870;2,01501E+13;1095453;44510000;10991;Avenue Mar‚chal Foch;947;;7012;Mons;Jemappes;114785,312;126279,1711;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;1010040;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33479547;2,02008E+13;W05-C-Mons-FH11;33479547;2,02008E+13;W05-C-Mons-FH11;33713;FTTH-Cu;;;;;;;;;;564871;2,01501E+13;1095456;44510000;10991;Avenue Mar‚chal Foch;825;;7012;Mons;Jemappes;115315,4575;126416,6618;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;1007855;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33479547;2,02008E+13;W05-C-Mons-FH11;33479547;2,02008E+13;W05-C-Mons-FH11;33713;FTTH-Cu;;;;;;;;;;38214077;2,02008E+13;1095457;44510000;14794;Rue Industrie;24;;7012;Mons;Jemappes;115387,7865;126482,4209;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;1554611;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
;;;Zoning;33479547;2,02008E+13;W05-C-Mons-FH11;33479547;2,02008E+13;W05-C-Mons-FH11;33713;FTTH-Cu;;;;;;;;;;38214094;2,02008E+13;1095458;44510000;14794;Rue Industrie;72;;7012;Mons;Jemappes;115397,897;126651,65;;NA;NA;;;Unknown;Unknown;;None;;;;;;;;;;;;1;1555025;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;;;;;;1;0;0;1;FR;SDU;nan;nan;nan
