Projectnummer;Opdrachtnummer;SYNDIC NAME;SYNDIC ADDRESS;SYNDIC ZIPCODE;SYNDIC CITY;SYNDIC PHONE;SYNDIC EMAIL;SYNDIC DATE;Straat;Huisnummer;Huisnummer Toevoeging;Opdrachttemplate
ANTWERPEN-WEST - FH01;5569316;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2020-01-31;Bordeauxstraat;8;;BUILDING template
ANTWERPEN-WEST - FH01;109139;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2020-01-28;Bordeauxstraat;10;;BUILDING template
ANTWERPEN-WEST - FH01;5507312;03 beheer;Belgiëlei 182;2018;Antwerpen;032859825;info@03beheer.be;2020-02-13;Bordeauxstraat;16;;BUILDING template
ANTWERPEN-WEST - FH01;2024759;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2020-02-21;Napoleonkaai;13;;BUILDING template
ANTWERPEN-WEST - FH01;2024771;03 beheer;Belgiëlei 182;2018;Antwerpen;032859825;info@03beheer.be;2020-02-13;Napoleonkaai;19;;BUILDING template
ANTWERPEN-WEST - FH01;2024775;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2020-01-28;Napoleonkaai;23;;BUILDING template
ANTWERPEN-WEST - FH01;12721;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;JVL@ASX.be;2019-12-10;Indiestraat;2;;BUILDING template
ANTWERPEN-WEST - FH01;5508518;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2019-09-19;Verbindingsdok-Oostkaai;23;;BUILDING template
ANTWERPEN-WEST - FH01;2024772;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2019-09-19;Napoleonkaai;21;;BUILDING template
ANTWERPEN-WEST - FH01;4505623;Aarimmo;Schupstraat 1;2018;Antwerpen;032252867;info@aarimmo.be;2019-12-12;Nassaustraat;14;;BUILDING template
ANTWERPEN-WEST - FH01;4048591;Anker 18;Napelsstraat 73;2000;Antwerpen;032321818;info@anker18.be;2019-11-07;Genuastraat;11;;BUILDING template
ANTWERPEN-WEST - FH01;1892421;Anker 18;Napelsstraat 73;2000;Antwerpen;032321818;info@anker18.be;2019-12-06;Genuastraat;9;;BUILDING template
ANTWERPEN-WEST - FH01;1366835;Anker 18;Napelsstraat 73;2000;Antwerpen;032321818;info@anker18.be;2020-02-20;Oudeleeuwenrui;19;;BUILDING template
ANTWERPEN-WEST - FH01;59289;Anker 18;Napelsstraat 73;2000;Antwerpen;032321818;info@anker18.be;2019-08-28;Tavernierkaai;2;;BUILDING template
ANTWERPEN-WEST - FH01;5963666;Anker 18;Napelsstraat 73;2000;Antwerpen;032321818;info@anker18.be;2019-09-27;Napelsstraat;73;;BUILDING template
ANTWERPEN-WEST - FH01;2047589;Annenco;Rollebeekstraat 14;2160;Wommelgem;037071999;Maxim@annenco.be;2019-04-12;Rijnkaai;22;;BUILDING template
ANTWERPEN-WEST - FH01;4505626;Annenco;Rollebeekstraat 14;2160;Wommelgem;037071999;Maxim@annenco.be;2019-04-11;Nassaustraat;23;;BUILDING template
ANTWERPEN-WEST - FH01;3989962;Annenco;Rollebeekstraat 14;2160;Wommelgem;037071999;info@annenco.be;2019-09-05;Rijnkaai;23;;BUILDING template
ANTWERPEN-WEST - FH01;2024875;Anouk Horsten;Kattendijkdok-Westkaai 33;2000;Antwerpen;0478307887;ah@notarisbogaert.be;2019-09-03;Nassaustraat;11;;BUILDING template
ANTWERPEN-WEST - FH01;1088758;AppartCo;Herentalsebaan 77;2150;Borsbeek;035003050;geen@email.be;2019-06-18;Londenstraat;60;;BUILDING template
ANTWERPEN-WEST - FH01;52547;Bart Dheer;Geen Adres;2000;Antwerpen;032867525;bart.dheer@elegast.be;2020-02-19;Rijnkaai;20;;BUILDING template
ANTWERPEN-WEST - FH01;62437;Beheer;Geen Adres;2000;Antwerpen;032386566;info@beheer.be;2020-02-19;Godefriduskaai;26;;BUILDING template
ANTWERPEN-WEST - FH01;1090148;Beheer;Geen Adres;2000;Antwerpen;032386566;info@beheer.be;2020-02-20;Godefriduskaai;28;;BUILDING template
ANTWERPEN-WEST - FH01;62065;BNP Real Estate;Meir 48;2000;Antwerpen;022905959;geen@email.be;2019-06-18;Italielei;2;;BUILDING template
ANTWERPEN-WEST - FH01;2047598;Braboimmo; Vlaamsekaai 90;2000;Antwerpen;032478916;tineke.michiels@braboimmo.be;2020-02-19;Rijnkaai;31;;BUILDING template
ANTWERPEN-WEST - FH01;52539;BVBA Beheer;Amerikalei 132;2000;Antwerpen;032386566;geen@email.be;2019-04-12;Amsterdamstraat;41;;BUILDING template
ANTWERPEN-WEST - FH01;2024913;BVBA Beheer;Amerikalei 132;2000;Antwerpen;032386566;geen@email.be;2019-04-12;Nassaustraat;20;;BUILDING template
ANTWERPEN-WEST - FH01;1905601;Bvba Beheer;Amerikalei 132;2000;Antwerpen;032386566;geen@email.be;2020-02-27;Godefriduskaai;50;;BUILDING template
ANTWERPEN-WEST - FH01;2047595;CoDominus beheer;Kapelsesteenweg 583;2180;Ekeren;035411877;geen@email.be;2019-08-23;Rijnkaai;28;;BUILDING template
ANTWERPEN-WEST - FH01;4128343;Cofinimmo;Londenstraat 60;2000;Antwerpen;033736060;geen@email.be;2019-06-18;Noorderplaats;9;;BUILDING template
ANTWERPEN-WEST - FH01;2028886;Cofinimmo;Londenstraat 60;2000;Antwerpen;023736060;geen@email.be;2019-06-18;Noorderplaats;5;;BUILDING template
ANTWERPEN-WEST - FH01;4128344;Cofinimmo;Londenstraat 60;2000;Antwerpen;033736060;geen@email.be;2019-06-18;Noorderplaats;7;;BUILDING template
ANTWERPEN-WEST - FH01;1892380;De ideale Woning;Diksmuidelaan 276;2000;Antwerpen;033202970;geen@email.be;2020-01-13;Genuastraat;4;A;BUILDING template
ANTWERPEN-WEST - FH01;2069012;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;4;;BUILDING template
ANTWERPEN-WEST - FH01;2069024;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;14;;BUILDING template
ANTWERPEN-WEST - FH01;2069015;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;damen@deels.be;2019-09-05;Entrepotkaai;6;;BUILDING template
ANTWERPEN-WEST - FH01;2069017;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;8;;BUILDING template
ANTWERPEN-WEST - FH01;2069019;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;10;;BUILDING template
ANTWERPEN-WEST - FH01;2069022;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;12;;BUILDING template
ANTWERPEN-WEST - FH01;5576507;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;16;;BUILDING template
