Projectnummer;Opdrachtnummer;SYNDIC NAME;SYNDIC ADDRESS;SYNDIC ZIPCODE;SYNDIC CITY;SYNDIC PHONE;SYNDIC EMAIL;SYNDIC DATE;Straat;Huisnummer;Huisnummer Toevoeging;Opdrachttemplate
ANTWERPEN-WEST - FH01;5569316;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2019-09-19;Bordeauxstraat;8;;BUILDING template
ANTWERPEN-WEST - FH01;109139;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2020-01-28;Bordeauxstraat;10;;BUILDING template
ANTWERPEN-WEST - FH01;5507312;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2019-09-19;Bordeauxstraat;16;;BUILDING template
ANTWERPEN-WEST - FH01;2024759;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2019-09-19;Napoleonkaai;13;;BUILDING template
ANTWERPEN-WEST - FH01;2024771;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2019-09-19;Napoleonkaai;19;;BUILDING template
ANTWERPEN-WEST - FH01;2024775;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2020-01-28;Napoleonkaai;23;;BUILDING template
ANTWERPEN-WEST - FH01;12721;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;JVL@ASX.be;2019-12-10;Indiestraat;2;;BUILDING template
ANTWERPEN-WEST - FH01;5508518;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2019-09-19;Verbindingsdok-Oostkaai;23;;BUILDING template
ANTWERPEN-WEST - FH01;2024772;03 Beheer;Belgiëlei 182;2018;Antwerpen;032859825;annick@03beheer.be;2019-09-19;Napoleonkaai;21;;BUILDING template
ANTWERPEN-WEST - FH07;1520006;03 Invest;Joe Englishstraat 63;2140;Antwerpen;032261319;geen@email.be;2019-10-10;Nationalestraat;126;;BUILDING template
ANTWERPEN-WEST - FH02;2013104;2rent.antwerp;Oosterweelsteenweg 57;2030;Antwerpen;0496134230;2rent.antwerp@gmail.com;2019-11-19;Minderbroedersrui;37;;BUILDING template
ANTWERPEN-WEST - FH01;4505623;Aarimmo;Schupstraat 1;2018;Antwerpen;032252867;info@aarimmo.be;2019-12-12;Nassaustraat;14;;BUILDING template
ANTWERPEN-WEST - FH04;110408;Aarimmo;Schupstraat 1;2018;Antwerpen;032252867;info@aarimmo.be;2019-12-27;Otto Veniusstraat;5;;BUILDING template
ANTWERPEN-WEST - FH04;56791;Ab properties;Belgiëlei 176;2018;Antwerpen;032131619;geen@email.be;2019-12-16;Lange Nieuwstraat;2;;BUILDING template
ANTWERPEN-WEST - FH04;110171;Algemeen beheer 2.0;Italiëlei 221;2000;Antwerpen;032542931;info@algemeenbeheer.be;2020-01-06;Hopland;45;;BUILDING template
ANTWERPEN-WEST - FH04;197570;Alkimmo nv;Huidevettersstraat 37;2000;Antwerpen;0499987180;roeland.kuyps@ahrgroup.be;2020-01-27;Jodenstraat;38;;BUILDING template
ANTWERPEN-WEST - FH07;2061339;Amadeus BVBA;Akenkaai 86/26AF;1000;Brussel;022234726;geen@email.be;2019-10-17;Lange Vlierstraat;8;;BUILDING template
ANTWERPEN-WEST - FH01;4048591;Anker 18;Napelsstraat 73;2000;Antwerpen;032321818;info@anker18.be;2019-11-07;Genuastraat;11;;BUILDING template
ANTWERPEN-WEST - FH01;1892421;Anker 18;Napelsstraat 73;2000;Antwerpen;032321818;info@anker18.be;2019-12-06;Genuastraat;9;;BUILDING template
ANTWERPEN-WEST - FH01;59289;Anker 18;Napelsstraat 73;2000;Antwerpen;032321818;info@anker18.be;2019-08-28;Tavernierkaai;2;;BUILDING template
ANTWERPEN-WEST - FH01;5963666;Anker 18;Napelsstraat 73;2000;Antwerpen;032321818;info@anker18.be;2019-09-27;Napelsstraat;73;;BUILDING template
ANTWERPEN-WEST - FH01;2047589;Annenco;Rollebeekstraat 14;2160;Wommelgem;037071999;Maxim@annenco.be;2019-04-12;Rijnkaai;22;;BUILDING template
ANTWERPEN-WEST - FH01;4505626;Annenco;Rollebeekstraat 14;2160;Wommelgem;037071999;Maxim@annenco.be;2019-04-11;Nassaustraat;23;;BUILDING template
ANTWERPEN-WEST - FH01;3989962;Annenco;Rollebeekstraat 14;2160;Wommelgem;037071999;info@annenco.be;2019-09-05;Rijnkaai;23;;BUILDING template
ANTWERPEN-WEST - FH04;1496106;Annenco;Rollebeekstraat 14;2160;Wommelgem;037071999;bo@annenco.be;2020-02-13;Wiegstraat;15;;BUILDING template
ANTWERPEN-WEST - FH04;187969;Annenco;Rollebeekstraat 14;2160;Wommelgem;037701999;filip@annenco.be;2020-02-13;Kipdorp;21;;BUILDING template
ANTWERPEN-WEST - FH07;2061616;Annenco;Rollebeekstraay 14;2160;Wommelgem;037701999;filip@annenco.be;2019-12-02;Volkstraat;46;;BUILDING template
ANTWERPEN-WEST - FH01;2024875;Anouk Horsten;Kattendijkdok-Westkaai 33;2000;Antwerpen;0478307887;ah@notarisbogaert.be;2019-09-03;Nassaustraat;11;;BUILDING template
ANTWERPEN-WEST - FH07;6339524;Antwerpse Woonhaven;Jan Denucéstraat 16;2020;Antwerpen;032122600;geen@email.be;2019-10-11;Willem Lepelstraat;23;A;BUILDING template
ANTWERPEN-WEST - FH07;1989079;Antwerpse woonhaven;Jan Denucéstraat 16;2020;Antwerpen;032122600;geen@email.be;2019-10-11;Willem Lepelstraat;25;A;BUILDING template
ANTWERPEN-WEST - FH01;1088758;AppartCo;Herentalsebaan 77;2150;Borsbeek;035003050;geen@email.be;2019-06-18;Londenstraat;60;;BUILDING template
ANTWERPEN-WEST - FH04;1735979;B&D vastgoedbeheer;Santvoortbeeklaan 23b;2100;Deurne;033252171;geen@email.be;2020-01-08;Apostelstraat;3;;BUILDING template
ANTWERPEN-WEST - FH07;2061581;B.v.b.a Beheer;Amerikalei 132;2000;Antwerpen;032386566;info@beheer.be;2019-11-05;Volkstraat;4;;BUILDING template
ANTWERPEN-WEST - FH04;1091139;B577;Paardenmarkt 54a;2000;Antwerpen;032976407;info@b577.be;2020-02-04;Hopland;29;;BUILDING template
ANTWERPEN-WEST - FH04;3927706;B577;Paardenmarkt 54a;2000;Antwerpen;032976407;info@b577.be;2020-02-04;Hopland;33;;BUILDING template
ANTWERPEN-WEST - FH04;110174;B577;Paardenmarkt 54a;2000;Antwerpen;032976407;info@b577.be;2020-02-04;Hopland;39;;BUILDING template
ANTWERPEN-WEST - FH01;52547;Bart D'heer;Geen Adres;2000;Antwerpen;032867525;bart.dheer@elegast.be;2020-02-19;Rijnkaai;20;;BUILDING template
ANTWERPEN-WEST - FH04;56792;Bart Vanderwegen;Geen Adres;2000;Antwerpen;0468184394;bart.ipa@telenet.be;2019-12-17;Lange Nieuwstraat;16;;BUILDING template
ANTWERPEN-WEST - FH06;174031;Beheer bvba;Amerikalei 132;2000;Antwerpen;032386566;info@beheer.be;2020-02-20;Geefsstraat;5;;BUILDING template
ANTWERPEN-WEST - FH04;59535;Beheer bvba;Amerikalei 132;2000;Antwerpen;032386566;info@beheer.be;2020-01-23;Huidevettersstraat;6;;BUILDING template
ANTWERPEN-WEST - FH04;1008469;Beta immo;Turnhoutseweg 59;2340;Beerse;014614138;geen@email.be;2019-12-19;Frankrijklei;40;;BUILDING template
ANTWERPEN-WEST - FH04;1873798;Beveko;Fruithoflaan 79b1;2600;Berchem;034403844;info@beveko.be;2019-12-23;Frankrijklei;62;;BUILDING template
ANTWERPEN-WEST - FH04;110104;Beveko;Fruithoflaan 79b1;2600;Berchem;034403844;info@beveko.be;2019-12-27;Jezusstraat;14;;BUILDING template
ANTWERPEN-WEST - FH01;62065;BNP Real Estate;Meir 48;2000;Antwerpen;022905959;geen@email.be;2019-06-18;Italielei;2;;BUILDING template
ANTWERPEN-WEST - FH01;2047598;Braboimmo; Vlaamsekaai 90;2000;Antwerpen;032478916;tineke.michiels@braboimmo.be;2020-02-19;Rijnkaai;31;;BUILDING template
ANTWERPEN-WEST - FH01;52539;BVBA Beheer;Amerikalei 132;2000;Antwerpen;032386566;geen@email.be;2019-04-12;Amsterdamstraat;41;;BUILDING template
ANTWERPEN-WEST - FH01;2024913;BVBA Beheer;Amerikalei 132;2000;Antwerpen;032386566;geen@email.be;2019-04-12;Nassaustraat;20;;BUILDING template
ANTWERPEN-WEST - FH06;2068427;BVBA Beheer;Amerikalei 132;2000;Antwerpen;032386566;geen@email.be;2020-02-20;Lombardenvest;15;;BUILDING template
ANTWERPEN-WEST - FH06;2068431;BVBA Beheer;Amerikalei 132;2000;Antwerpen;032386566;geen@email.be;2020-02-20;Lombardenvest;25;;BUILDING template
ANTWERPEN-WEST - FH07;48960;BVBA Beheer;Amerikalei 132;2000;Antwerpen;032386566;geen@email.be;2019-11-28;Steenhouwersvest;1;;BUILDING template
ANTWERPEN-WEST - FH07;1230196;BVBA Beheer;Amerikalei 132;2000;Antwerpen;032386566;geen@email.be;2019-12-16;Hoogstraat;69;;BUILDING template
ANTWERPEN-WEST - FH07;973302;BVBA Beheer;Amerikalei 132;2000;Antwerpen;032386566;geen@email.be;2019-11-27;Kronenburgstraat;27;;BUILDING template
ANTWERPEN-WEST - FH04;4507365;C&S immo;Nationalestraat 90;2000;Antwerpen;032575555;immo@ccimmo.be;2019-11-30;Kipdorp;3;;BUILDING template
ANTWERPEN-WEST - FH04;109162;Carl Martens;Geen Adres;2000;Antwerpen;032268500;immo@carlmartens.be;2019-12-13;Keizerstraat;15;;BUILDING template
ANTWERPEN-WEST - FH04;4068369;Carl Martens;Geen Adres;2000;Antwerpen;032268500;immo@carlmartens.be;2019-12-13;Keizerstraat;19;;BUILDING template
ANTWERPEN-WEST - FH07;2054388;C&S immo;Nationalestraat 90;2000;Antwerpen;032575555;immo@ccimmo.be;2019-10-16;Steenbergstraat;38;;BUILDING template
ANTWERPEN-WEST - FH06;2061261;CLOPAERT BVBA;Belgielei 182;2018;Antwerpen;032393430;geen@email.be;2020-02-20;Vleminckveld;11;;BUILDING template
ANTWERPEN-WEST - FH04;5575984;Cobelpro;Sneeuwbeslaan 14;2610;Wilrijk;032317890;geen@email.be;2020-02-07;Meir;30;;BUILDING template
ANTWERPEN-WEST - FH04;5576350;Cobelpro;Sneeuwbeslaan 14;2610;Wilrijk;032317890;geen@email.be;2020-02-03;Otto Veniusstraat;1;;BUILDING template
ANTWERPEN-WEST - FH01;2047595;CoDominus beheer;Kapelsesteenweg 583;2180;Ekeren;035411877;geen@email.be;2019-08-23;Rijnkaai;28;;BUILDING template
ANTWERPEN-WEST - FH01;4128343;Cofinimmo;Londenstraat 60;2000;Antwerpen;033736060;geen@email.be;2019-06-18;Noorderplaats;9;;BUILDING template
ANTWERPEN-WEST - FH01;2028886;Cofinimmo;Londenstraat 60;2000;Antwerpen;023736060;geen@email.be;2019-06-18;Noorderplaats;5;;BUILDING template
ANTWERPEN-WEST - FH01;4128344;Cofinimmo;Londenstraat 60;2000;Antwerpen;033736060;geen@email.be;2019-06-18;Noorderplaats;7;;BUILDING template
ANTWERPEN-WEST - FH06;2061259;COLPAERT BVBA;Belgielei 182;2018;Antwerpen;032393430;geen@email.be;2020-02-20;Vleminckveld;5;;BUILDING template
ANTWERPEN-WEST - FH06;1438270;COLPAERT BVBA;Belgielei 182;2018;Antwerpen;032393430;geen@email.be;2020-02-20;Vleminckveld;23;;BUILDING template
ANTWERPEN-WEST - FH06;1448986;COLPAERT BVBA;Belgielei 182;2018;Antwerpen;032393430;geen@email.be;2020-02-20;Vleminckveld;7;;BUILDING template
ANTWERPEN-WEST - FH01;1892380;De ideale Woning;Diksmuidelaan 276;2000;Antwerpen;033202970;geen@email.be;2020-01-13;Genuastraat;4;A;BUILDING template
ANTWERPEN-WEST - FH04;4059332;De Mars;Jezusstraat 25b6;2000;Antwerpen;01234789;wim@dmw.be;2019-12-28;Lange Nieuwstraat;136;;BUILDING template
ANTWERPEN-WEST - FH04;3960007;De Mars;Jezusstraat 25b6;2000;Antwerpen;01234789;wim@dmw.be;2019-12-28;Jezusstraat;25;;BUILDING template
ANTWERPEN-WEST - FH01;2069012;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;4;;BUILDING template
ANTWERPEN-WEST - FH01;2069024;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;14;;BUILDING template
ANTWERPEN-WEST - FH01;2069015;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;damen@deels.be;2019-09-05;Entrepotkaai;6;;BUILDING template
ANTWERPEN-WEST - FH01;2069017;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;8;;BUILDING template
ANTWERPEN-WEST - FH01;2069019;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;10;;BUILDING template
ANTWERPEN-WEST - FH01;2069022;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;12;;BUILDING template
ANTWERPEN-WEST - FH01;5576507;Deels bvba;Zagerijstraat 10;2240;Zandhoven;038080408;samen@deels.be;2019-09-05;Entrepotkaai;16;;BUILDING template
ANTWERPEN-WEST - FH02;1139836;Denise schelkens;Prins albertlei 31A bus 36;2600;Antwerpen;032339252;geen@email.be;2019-11-22;Sint-Paulusstraat;27;;BUILDING template
ANTWERPEN-WEST - FH04;1961982;Dhr.verelst;Geen Adres;2000;Antwerpen;0486510476;kv@corner3.be;2020-02-04;Kipdorp;11;;BUILDING template
ANTWERPEN-WEST - FH01;1960581;Dirk Lenaerts;Geen Adres;2000;Antwerpen;0499318418;geen@email.be;2019-08-20;Kattendijkdok-Westkaai;26;;BUILDING template
ANTWERPEN-WEST - FH01;3962176;Equilibre RW bvba;Liersebaan 35;2240;Zandhoven;034804904;info@beheergebouwen.be;2019-08-28;Sint-Aldegondiskaai;38;;BUILDING template
ANTWERPEN-WEST - FH02;2013035;Equilibre RW bvba;Liersebaan 35;2240;Zandhoven;034804904;info@beheergebouwen.be;2019-11-19;Minderbroedersrui;35;;BUILDING template
ANTWERPEN-WEST - FH02;1071428;Equilibre RW bvba;Bellemond 15;2970;Schilde;034804904;info@beheergebouwen.be;2019-11-19;Keizerstraat;3;;BUILDING template
ANTWERPEN-WEST - FH04;1945553;Evares;Rubenslei 34;2018;Antwerpen;035020400;info@evares.be;2020-01-14;Huidevettersstraat;40;;BUILDING template
ANTWERPEN-WEST - FH04;3926213;Evares;Rubenslei 34;2018;Antwerpen;035020400;info@evares.be;2020-01-23;Korte Gasthuisstraat;21;;BUILDING template
ANTWERPEN-WEST - FH04;1008464;Evares;Rubenslei 34;2018;Antwerpen;035020400;info@evares.be;2019-12-18;Frankrijklei;56;;BUILDING template
ANTWERPEN-WEST - FH04;1008465;Evares;Rubenslei 34;2018;Antwerpen;035020400;info@evares.be;2019-12-18;Frankrijklei;58;;BUILDING template
ANTWERPEN-WEST - FH04;182860;Evares;Rubenslei 34;2018;Antwerpen;032351807;info@evares.be;2020-01-14;Huidevettersstraat;38;;BUILDING template
ANTWERPEN-WEST - FH07;2045613;Evares;Rubenslei 34;2018;Antwerpen;032351807;info@evares.be;2019-10-21;Prekersstraat;35;;BUILDING template
ANTWERPEN-WEST - FH04;187740;Evares;Rubenslei 34;2018;Antwerpen;032351807;info@evares.be;2019-12-19;Kipdorpvest;47;;BUILDING template
ANTWERPEN-WEST - FH07;2061587;Fides Invest;Van Eycklei 1 bus 6;2018;Antwerpen;032325400;info@fidesinvest.be;2019-11-05;Volkstraat;10;;BUILDING template
ANTWERPEN-WEST - FH01;1735095;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;2019-11-08;Amsterdamstraat;18;;BUILDING template
ANTWERPEN-WEST - FH01;1735099;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;2019-08-19;Amsterdamstraat;27;;BUILDING template
ANTWERPEN-WEST - FH01;108074;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;2019-08-30;Bataviastraat;7;;BUILDING template
ANTWERPEN-WEST - FH01;108073;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;2019-08-30;Bataviastraat;11;;BUILDING template
ANTWERPEN-WEST - FH01;4505621;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;2019-12-13;Verbindingsdok-Westkaai;22;;BUILDING template
ANTWERPEN-WEST - FH01;1128029;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;2019-04-02;Verbindingsdok-Westkaai;26;;BUILDING template
ANTWERPEN-WEST - FH01;1735088;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;2019-11-08;Amsterdamstraat;14;;BUILDING template
