CompleteTime;ReceivedTime;Opdrachtnummer;SS_Fiberhood;SS_reason_underground;SS_reason_wllmnt_N;SS_reason_wllmnt_Y;SS_MDU_LAMKEY;DETAIL_UNIT_ZIPCODE;DETAIL_UNIT_BLOC;DETAIL_UNIT_ETAGE;DETAIL_UNIT_UNIT;DETAIL_UNIT_PROXIMUS;DETAIL_UNIT_REMARKS;DETAIL_UNIT_UTAX;DETAIL_UNIT_TYPE;DETAIL_UNIT_RESIDENT;DETAIL_UNIT_GSM;DETAIL_UNIT_EMAIL
2020-06-29T07:11:13.0000000Z;2020-06-29T07:11:14.2970000Z;334979;;;;;;11;;0;11;;;;BU;;;;
2020-06-29T07:12:42.0000000Z;2020-06-29T07:12:43.1570000Z;1311795;W03-C-Schaerbeek-FH04;;;;1311795;001;;0;001;;;;LU;;;;
2020-06-29T07:12:42.0000000Z;2020-06-29T07:12:43.1570000Z;1311795;W03-C-Schaerbeek-FH04;;;;1311795;101;;1;101;;;;LU;;;;
2020-06-29T07:12:42.0000000Z;2020-06-29T07:12:43.1570000Z;1311795;W03-C-Schaerbeek-FH04;;;;1311795;201;;2;201;;;;LU;;;;
2020-06-29T07:12:42.0000000Z;2020-06-29T07:12:43.1570000Z;1311795;W03-C-Schaerbeek-FH04;;;;1311795;301;;3;301;;;;LU;;;;
2020-06-29T07:21:08.0000000Z;2020-06-29T07:21:09.2600000Z;868791;W03-C-Schaerbeek-FH04;;;;868791;001;;0;001;;;;LU;;;;
2020-06-29T07:21:08.0000000Z;2020-06-29T07:21:09.2600000Z;868791;W03-C-Schaerbeek-FH04;;;;868791;101;;1;101;;;;LU;;;;
2020-06-29T07:21:08.0000000Z;2020-06-29T07:21:09.2600000Z;868791;W03-C-Schaerbeek-FH04;;;;868791;201;;2;201;;;;LU;;;;
2020-06-29T07:21:08.0000000Z;2020-06-29T07:21:09.2600000Z;868791;W03-C-Schaerbeek-FH04;;;;868791;301;;3;302;;;;LU;;;;
2020-06-29T07:32:15.0000000Z;2020-06-29T07:32:16.1670000Z;868792;W03-C-Schaerbeek-FH04;;;;868792;001;;0;001;;;;LU;;;;
2020-06-29T07:32:15.0000000Z;2020-06-29T07:32:16.1670000Z;868792;W03-C-Schaerbeek-FH04;;;;868792;101;;1;101;;;;LU;;;;
2020-06-29T07:32:15.0000000Z;2020-06-29T07:32:16.1670000Z;868792;W03-C-Schaerbeek-FH04;;;;868792;201;;2;201;;;;LU;;;;
2020-06-29T07:32:15.0000000Z;2020-06-29T07:32:16.1670000Z;868792;W03-C-Schaerbeek-FH04;;;;868792;301;;3;301;;;;LU;;;;
2020-06-29T07:40:15.0000000Z;2020-06-29T07:40:16.8430000Z;4114737;W03-C-Schaerbeek-FH04;;;;4114737;001;;0;001;;;;LU;;;;
2020-06-29T07:40:15.0000000Z;2020-06-29T07:40:16.8430000Z;4114737;W03-C-Schaerbeek-FH04;;;;4114737;101;;1;101;;;;LU;;;;
2020-06-29T07:40:15.0000000Z;2020-06-29T07:40:16.8430000Z;4114737;W03-C-Schaerbeek-FH04;;;;4114737;201;;2;201;;;;LU;;;;
2020-06-29T07:40:15.0000000Z;2020-06-29T07:40:16.8430000Z;4114737;W03-C-Schaerbeek-FH04;;;;4114737;301;;3;301;;;;LU;;;;
2020-06-29T08:00:11.0000000Z;2020-06-29T08:00:12.5570000Z;1677267;W03-C-Schaerbeek-FH04;;;;1677267;001;;0;001;;;;LU;;;;
2020-06-29T08:00:11.0000000Z;2020-06-29T08:00:12.5570000Z;1677267;W03-C-Schaerbeek-FH04;;;;1677267;101;;1;101;;;;LU;;;;
2020-06-29T08:00:11.0000000Z;2020-06-29T08:00:12.5570000Z;1677267;W03-C-Schaerbeek-FH04;;;;1677267;201;;2;201;;;;LU;;;;
2020-06-29T08:00:11.0000000Z;2020-06-29T08:00:12.5570000Z;1677267;W03-C-Schaerbeek-FH04;;;;1677267;301;;3;303;;;;LU;;;;
2020-06-29T08:03:35.0830000Z;2020-06-29T08:03:37.6270000Z;3937179;W03-D-Hasselt-FH05;;;;3937179;001;;0;001;;;;LU;;;;
2020-06-29T08:03:35.0830000Z;2020-06-29T08:03:37.6270000Z;3937179;W03-D-Hasselt-FH05;;;;3937179;002;;0;002;;;;SU;;;;
2020-06-29T08:03:35.0830000Z;2020-06-29T08:03:37.6270000Z;3937179;W03-D-Hasselt-FH05;;;;3937179;101;;1;101;;;;LU;;;;
2020-06-29T08:03:35.0830000Z;2020-06-29T08:03:37.6270000Z;3937179;W03-D-Hasselt-FH05;;;;3937179;102;;1;102;;;;LU;;;;
2020-06-29T08:03:35.0830000Z;2020-06-29T08:03:37.6270000Z;3937179;W03-D-Hasselt-FH05;;;;3937179;201;;2;201;;;;LU;;;;
2020-06-29T08:03:35.0830000Z;2020-06-29T08:03:37.6270000Z;3937179;W03-D-Hasselt-FH05;;;;3937179;202;;2;202;;;;LU;;;;
2020-06-29T08:03:35.0830000Z;2020-06-29T08:03:37.6270000Z;3937179;W03-D-Hasselt-FH05;;;;3937179;301;;3;301;;;;LU;;;;
2020-06-29T08:03:35.0830000Z;2020-06-29T08:03:37.6270000Z;3937179;W03-D-Hasselt-FH05;;;;3937179;302;;3;302;;;;LU;;;;
2020-06-29T08:03:35.0830000Z;2020-06-29T08:03:37.6270000Z;3937179;W03-D-Hasselt-FH05;;;;3937179;401;;4;401;;;;LU;;;;
2020-06-29T08:13:11.0000000Z;2020-06-29T08:13:12.5130000Z;1325552;W03-C-Schaerbeek-FH04;;;;1325552;001;;0;001;;;;LU;;;;
2020-06-29T08:13:11.0000000Z;2020-06-29T08:13:12.5130000Z;1325552;W03-C-Schaerbeek-FH04;;;;1325552;101;;1;101;;;;LU;;;;
2020-06-29T08:13:11.0000000Z;2020-06-29T08:13:12.5130000Z;1325552;W03-C-Schaerbeek-FH04;;;;1325552;201;;2;201;;;;LU;;;;
2020-06-29T08:13:11.0000000Z;2020-06-29T08:13:12.5130000Z;1325552;W03-C-Schaerbeek-FH04;;;;1325552;0000;;0;0000;;Alarme;;SU;;;;
2020-06-29T08:22:17.0000000Z;2020-06-29T08:22:18.1330000Z;1677246;W03-C-Schaerbeek-FH04;;;;1677246;001;;0;001;;;;LU;;;;
2020-06-29T08:22:17.0000000Z;2020-06-29T08:22:18.1330000Z;1677246;W03-C-Schaerbeek-FH04;;;;1677246;101;;1;101;;;;LU;;;;
2020-06-29T08:22:17.0000000Z;2020-06-29T08:22:18.1330000Z;1677246;W03-C-Schaerbeek-FH04;;;;1677246;201;;2;201;;;;LU;;;;
2020-06-29T08:22:17.0000000Z;2020-06-29T08:22:18.1330000Z;1677246;W03-C-Schaerbeek-FH04;;;;1677246;301;;3;301;;;;LU;;;;
2020-06-29T08:25:08.0000000Z;2020-06-29T08:25:08.3500000Z;2761511;;;;;;693;;0;693;;;;BU;;;;
2020-06-29T08:25:59.0000000Z;2020-06-29T08:26:00.4230000Z;2761513;W03-C-Knokke-Heist-FH04;;;;2761513;11;;1;11;;;;LU;;;;
2020-06-29T08:25:59.0000000Z;2020-06-29T08:26:00.4230000Z;2761513;W03-C-Knokke-Heist-FH04;;;;2761513;21;;2;21;;;;LU;;;;
2020-06-29T08:25:59.0000000Z;2020-06-29T08:26:00.4230000Z;2761513;W03-C-Knokke-Heist-FH04;;;;2761513;31;;3;31;;;;LU;;;;
2020-06-29T08:25:59.0000000Z;2020-06-29T08:26:00.4230000Z;2761513;W03-C-Knokke-Heist-FH04;;;;2761513;41;;4;41;;;;LU;;;;
2020-06-29T08:25:59.0000000Z;2020-06-29T08:26:00.4230000Z;2761513;W03-C-Knokke-Heist-FH04;;;;2761513;51;;5;51;;;;LU;;;;
2020-06-29T08:25:59.0000000Z;2020-06-29T08:26:00.4230000Z;2761513;W03-C-Knokke-Heist-FH04;;;;2761513;61;;6;61;;;;LU;;;;
2020-06-29T08:25:59.0000000Z;2020-06-29T08:26:00.4230000Z;2761513;W03-C-Knokke-Heist-FH04;;;;2761513;71;;7;71;;;;LU;;;;
2020-06-29T08:25:59.0000000Z;2020-06-29T08:26:00.4230000Z;2761513;W03-C-Knokke-Heist-FH04;;;;2761513;81;;8;81;;;;LU;;;;
2020-06-29T08:25:59.0000000Z;2020-06-29T08:26:00.4230000Z;2761513;W03-C-Knokke-Heist-FH04;;;;2761513;0000;;0;0000;;LIFT;;SU;;;;
2020-06-29T08:28:04.0000000Z;2020-06-29T08:28:05.0770000Z;2761514;;;;;;695;;0;695;;;;BU;;;;
2020-06-29T08:31:55.0000000Z;2020-06-29T08:31:55.8630000Z;1677240;W03-C-Schaerbeek-FH04;;;;1677240;001;;0;001;;;;LU;;;;
2020-06-29T08:31:55.0000000Z;2020-06-29T08:31:55.8630000Z;1677240;W03-C-Schaerbeek-FH04;;;;1677240;101;;1;101;;;;LU;;;;
2020-06-29T08:31:55.0000000Z;2020-06-29T08:31:55.8630000Z;1677240;W03-C-Schaerbeek-FH04;;;;1677240;201;;2;201;;;;LU;;;;
2020-06-29T08:31:55.0000000Z;2020-06-29T08:31:55.8630000Z;1677240;W03-C-Schaerbeek-FH04;;;;1677240;301;;3;302;;;;LU;;;;
2020-06-29T08:31:55.0000000Z;2020-06-29T08:31:55.8630000Z;1677240;W03-C-Schaerbeek-FH04;;;;1677240;401;;4;401;;;;LU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;001;;0;001;;;;LU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;002;;0;002;;;;LU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;003;;0;003;;;;LU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;004;;0;004;;;;BU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;005;;0;005;;;;SU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;101;;1;101;;;;LU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;102;;1;102;;;;LU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;201;;2;201;;;;LU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;202;;2;202;;;;LU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;301;;3;301;;;;LU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;302;;3;302;;;;LU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;303;;3;303;;;;LU;;;;
2020-06-29T08:44:20.3430000Z;2020-06-29T08:44:21.8500000Z;2426242;W03-D-Hasselt-FH06;;;;2426242;304;;3;304;;;;LU;;;;
2020-06-29T08:52:56.0000000Z;2020-06-29T08:52:57.0970000Z;1677231;W03-C-Schaerbeek-FH04;;;;1677231;001;;0;002;;;;BU;;;;
2020-06-29T08:52:56.0000000Z;2020-06-29T08:52:57.0970000Z;1677231;W03-C-Schaerbeek-FH04;;;;1677231;101;;1;101;;;;LU;;;;
2020-06-29T08:52:56.0000000Z;2020-06-29T08:52:57.0970000Z;1677231;W03-C-Schaerbeek-FH04;;;;1677231;201;;2;201;;;;LU;;;;
2020-06-29T08:52:56.0000000Z;2020-06-29T08:52:57.0970000Z;1677231;W03-C-Schaerbeek-FH04;;;;1677231;301;;3;301;;;;LU;;;;
2020-06-29T09:09:47.0000000Z;2020-06-29T09:09:48.1430000Z;1667926;W03-C-Schaerbeek-FH04;;;;1667926;001;;0;001;;;;BU;;;;
2020-06-29T09:09:47.0000000Z;2020-06-29T09:09:48.1430000Z;1667926;W03-C-Schaerbeek-FH04;;;;1667926;101;;1;101;;;;LU;;;;
2020-06-29T09:09:47.0000000Z;2020-06-29T09:09:48.1430000Z;1667926;W03-C-Schaerbeek-FH04;;;;1667926;201;;2;201;;;;LU;;;;
2020-06-29T09:09:47.0000000Z;2020-06-29T09:09:48.1430000Z;1667926;W03-C-Schaerbeek-FH04;;;;1667926;301;;3;301;;;;LU;;;;
2020-06-29T09:09:47.0000000Z;2020-06-29T09:09:48.1430000Z;1667926;W03-C-Schaerbeek-FH04;;;;1667926;401;;4;401;;;;LU;;;;
2020-06-29T09:15:44.4330000Z;2020-06-29T09:15:45.9030000Z;2407173;W03-D-Hasselt-FH05;;;;2407173;001;;0;001;;;;LU;;;;
2020-06-29T09:15:44.4330000Z;2020-06-29T09:15:45.9030000Z;2407173;W03-D-Hasselt-FH05;;;;2407173;002;;0;002;;;;LU;;;;
2020-06-29T09:15:44.4330000Z;2020-06-29T09:15:45.9030000Z;2407173;W03-D-Hasselt-FH05;;;;2407173;003;;0;003;;;;SU;;;;
2020-06-29T09:15:44.4330000Z;2020-06-29T09:15:45.9030000Z;2407173;W03-D-Hasselt-FH05;;;;2407173;101;;1;101;;;;LU;;;;
2020-06-29T09:15:44.4330000Z;2020-06-29T09:15:45.9030000Z;2407173;W03-D-Hasselt-FH05;;;;2407173;102;;1;102;;;;LU;;;;
2020-06-29T09:15:44.4330000Z;2020-06-29T09:15:45.9030000Z;2407173;W03-D-Hasselt-FH05;;;;2407173;201;;2;201;;;;LU;;;;
2020-06-29T09:15:44.4330000Z;2020-06-29T09:15:45.9030000Z;2407173;W03-D-Hasselt-FH05;;;;2407173;202;;2;202;;;;LU;;;;
2020-06-29T09:15:44.4330000Z;2020-06-29T09:15:45.9030000Z;2407173;W03-D-Hasselt-FH05;;;;2407173;301;;3;301;;;;LU;;;;
2020-06-29T09:15:44.4330000Z;2020-06-29T09:15:45.9030000Z;2407173;W03-D-Hasselt-FH05;;;;2407173;302;;3;302;;;;LU;;;;
2020-06-29T09:15:44.4330000Z;2020-06-29T09:15:45.9030000Z;2407173;W03-D-Hasselt-FH05;;;;2407173;401;;4;401;;;;LU;;;;
2020-06-29T09:20:58.0000000Z;2020-06-29T09:20:59.9570000Z;1471395;W03-C-Schaerbeek-FH04;;;;1471395;001;;0;001;;;;BU;;;;
2020-06-29T09:20:58.0000000Z;2020-06-29T09:20:59.9570000Z;1471395;W03-C-Schaerbeek-FH04;;;;1471395;101;;1;101;;;;LU;;;;
