"CompleteTime";"ReceivedTime";"Opdrachtnummer";"SS_Fiberhood";"SS_reason_underground";"SS_reason_wllmnt_N";"SS_reason_wllmnt_Y";"SS_MDU_LAMKEY";"DETAIL_UNIT_ZIPCODE";"DETAIL_UNIT_BLOC";"DETAIL_UNIT_ETAGE";"DETAIL_UNIT_UNIT";"DETAIL_UNIT_PROXIMUS";"DETAIL_UNIT_REMARKS";"DETAIL_UNIT_UTAX";"DETAIL_UNIT_TYPE";"DETAIL_UNIT_RESIDENT";"DETAIL_UNIT_GSM";"DETAIL_UNIT_EMAIL"
"2020-02-22T17:37:36.3570000Z";"2020-02-22T17:37:39.3100000Z";2768377;"W03-C-Liege-FH07";;;;2768377;;723;"Rdc";1;;;;"BU";;;
"2020-02-22T17:37:36.3570000Z";"2020-02-22T17:37:39.3100000Z";2768377;"W03-C-Liege-FH07";;;;2768377;;723;2;21;;;;"LU";;;
"2020-02-22T18:17:15.8570000Z";"2020-02-22T18:17:17.4570000Z";2768368;"W03-C-Liege-FH07";;;;2768368;;723;"Rdc";1;;;;"BU";;;
"2020-02-22T18:17:15.8570000Z";"2020-02-22T18:17:17.4570000Z";2768368;"W03-C-Liege-FH07";;;;2768368;;723;1;11;;;;"LU";;;
"2020-02-22T18:17:15.8570000Z";"2020-02-22T18:17:17.4570000Z";2768368;"W03-C-Liege-FH07";;;;2768368;;723;2;21;;;;"LU";;;
"2020-02-22T21:21:31.8800000Z";"2020-02-22T21:21:33.4030000Z";2768365;"W03-C-Liege-FH07";;;;2768365;;723;"Rdc";1;;;;"BU";;;
"2020-02-22T21:21:31.8800000Z";"2020-02-22T21:21:33.4030000Z";2768365;"W03-C-Liege-FH07";;;;2768365;;723;1;11;;;;"LU";;;
"2020-02-22T21:21:31.8800000Z";"2020-02-22T21:21:33.4030000Z";2768365;"W03-C-Liege-FH07";;;;2768365;;723;2;21;;;;"LU";;;
"2020-02-22T21:21:31.8800000Z";"2020-02-22T21:21:33.4030000Z";2768365;"W03-C-Liege-FH07";;;;2768365;;723;3;31;;;;"LU";;;
"2020-02-22T21:27:00.7300000Z";"2020-02-22T21:27:01.8770000Z";2768364;"W03-C-Liege-FH07";;;;2768364;;723;"Rdc";1;;;;"BU";;;
"2020-02-22T21:27:00.7300000Z";"2020-02-22T21:27:01.8770000Z";2768364;"W03-C-Liege-FH07";;;;2768364;;723;1;11;;;;"LU";;;
"2020-02-22T21:40:56.5870000Z";"2020-02-22T21:40:58.2570000Z";2768362;"W03-C-Liege-FH07";;;;2768362;;723;"Rdc";1;;;;"BU";;;
"2020-02-22T21:40:56.5870000Z";"2020-02-22T21:40:58.2570000Z";2768362;"W03-C-Liege-FH07";;;;2768362;;723;1;11;;;;"LU";;;
"2020-02-22T21:40:56.5870000Z";"2020-02-22T21:40:58.2570000Z";2768362;"W03-C-Liege-FH07";;;;2768362;;723;2;21;;;;"LU";;;
"2020-02-22T21:45:37.5630000Z";"2020-02-22T21:45:39.2600000Z";2771118;"W03-C-Liege-FH07";;;;2771118;;723;"Rdc";1;;;;"LU";;;
"2020-02-22T21:45:37.5630000Z";"2020-02-22T21:45:39.2600000Z";2771118;"W03-C-Liege-FH07";;;;2771118;;723;1;11;;;;"LU";;;
"2020-02-22T21:45:37.5630000Z";"2020-02-22T21:45:39.2600000Z";2771118;"W03-C-Liege-FH07";;;;2771118;;723;2;21;;;;"LU";;;
"2020-02-22T21:54:07.7270000Z";"2020-02-22T21:54:09.9130000Z";3140175;"W03-C-Liege-FH07";;;;3140175;;721;"Rdc";1;;;;"BU";;;
"2020-02-22T21:54:07.7270000Z";"2020-02-22T21:54:09.9130000Z";3140175;"W03-C-Liege-FH07";;;;3140175;;721;1;11;;;;"LU";;;
"2020-02-22T21:54:07.7270000Z";"2020-02-22T21:54:09.9130000Z";3140175;"W03-C-Liege-FH07";;;;3140175;;721;1;12;;;;"LU";;;
"2020-02-22T21:54:07.7270000Z";"2020-02-22T21:54:09.9130000Z";3140175;"W03-C-Liege-FH07";;;;3140175;;721;2;21;;;;"LU";;;
