CompleteTime;ReceivedTime;Opdrachtnummer;SS_Fiberhood;SS_reason_underground;SS_reason_wllmnt_N;SS_reason_wllmnt_Y;SS_MDU_LAMKEY;DETAIL_UNIT_ZIPCODE;DETAIL_UNIT_BLOC;DETAIL_UNIT_ETAGE;DETAIL_UNIT_UNIT;DETAIL_UNIT_PROXIMUS;DETAIL_UNIT_REMARKS;DETAIL_UNIT_UTAX;DETAIL_UNIT_TYPE;DETAIL_UNIT_RESIDENT;DETAIL_UNIT_GSM;DETAIL_UNIT_EMAIL
2020-08-20T08:09:09.0000000Z;2020-08-20T08:09:10.3830000Z;2023915;W03-C-Antwerpen-West-FH11;;;;2023915;101;;1;101;;;;LU;;;;
2020-08-20T08:09:09.0000000Z;2020-08-20T08:09:10.3830000Z;2023915;W03-C-Antwerpen-West-FH11;;;;2023915;201;;2;201;;;;LU;;;;
2020-08-20T08:09:09.0000000Z;2020-08-20T08:09:10.3830000Z;2023915;W03-C-Antwerpen-West-FH11;;;;2023915;301;;3;301;;;;LU;;;;
2020-08-20T08:09:09.0000000Z;2020-08-20T08:09:10.3830000Z;2023915;W03-C-Antwerpen-West-FH11;;;;2023915;401;;4;401;;;;LU;;;;
2020-08-20T08:28:01.0000000Z;2020-08-20T08:28:01.8830000Z;2023929;W03-C-Antwerpen-West-FH11;;;;2023929;1;;1;1;;;;LU;;;;
2020-08-20T08:28:01.0000000Z;2020-08-20T08:28:01.8830000Z;2023929;W03-C-Antwerpen-West-FH11;;;;2023929;2;;2;2;;;;LU;;;;
2020-08-20T09:45:39.0000000Z;2020-08-20T09:45:39.8270000Z;2062830;W03-C-Antwerpen-West-FH11;;;;2062830;001;;0;001;;;;BU;;;;
2020-08-20T09:45:39.0000000Z;2020-08-20T09:45:39.8270000Z;2062830;W03-C-Antwerpen-West-FH11;;;;2062830;101;;1;101;;;;LU;;;;
2020-08-20T09:45:39.0000000Z;2020-08-20T09:45:39.8270000Z;2062830;W03-C-Antwerpen-West-FH11;;;;2062830;201;;2;201;;DUPLEX;;LU;;;;
2020-08-20T09:45:39.0000000Z;2020-08-20T09:45:39.8270000Z;2062830;W03-C-Antwerpen-West-FH11;;;;2062830;202;;2;202;;TRIPLEX;;LU;;;;
2020-08-20T09:53:13.0000000Z;2020-08-20T09:53:13.9670000Z;2062827;W03-C-Antwerpen-West-FH11;;;;2062827;001;;0;001;;;;BU;;;;
2020-08-20T09:53:13.0000000Z;2020-08-20T09:53:13.9670000Z;2062827;W03-C-Antwerpen-West-FH11;;;;2062827;101;;1;101;;;;BU;;;;
2020-08-20T09:53:13.0000000Z;2020-08-20T09:53:13.9670000Z;2062827;W03-C-Antwerpen-West-FH11;;;;2062827;201;;0;201;;DUPLEX;;LU;;;;
2020-08-20T09:57:46.0000000Z;2020-08-20T09:57:47.3500000Z;2062828;W03-C-Antwerpen-West-FH11;;;;2062828;001;;0;001;;;;BU;;;;
2020-08-20T09:57:46.0000000Z;2020-08-20T09:57:47.3500000Z;2062828;W03-C-Antwerpen-West-FH11;;;;2062828;101;;1;101;;;;LU;;;;
2020-08-20T09:57:46.0000000Z;2020-08-20T09:57:47.3500000Z;2062828;W03-C-Antwerpen-West-FH11;;;;2062828;201;;2;201;;DUPLEX;;LU;;;;
2020-08-20T10:33:42.1370000Z;2020-08-20T10:33:41.3530000Z;109205;;;;;;0;;0;001;;;;;;;;
2020-08-20T10:45:44.7770000Z;2020-08-20T10:45:44.8870000Z;109573;W03-C-Antwerpen-West-FH03;;;;109573;1;;1;101;;;;LU;;;;
